communityname,racepctblack,racePctHisp,pctUrban,PctNotSpeakEnglWell,medIncome,pctWPubAsst,PctPopUnderPov,PctUnemployed,PctFam2Par,PctHousOccup,PctVacantBoarded,PctHousNoPhone,PctSameHouse85,murdPerPop,robbbPerPop,autoTheftPerPop,arsonsPerPop,ViolentCrimesPerPop
Moberlycity,7.24,0.86,0.0,0.44,-1.281168984209286,6.53,18.27,8.52,71.13,89.41,0.65,10.58,50.83,7.88,39.4,165.48,7.88,985.03
Sandycity,0.19,2.54,100.0,0.55,1.4765496111242045,2.59,4.21,3.56,89.17,96.58,1.31,0.86,51.8,0.0,32.06,125.96,5.73,131.68
Wheatoncity,2.53,2.04,100.0,1.15,2.447207164741928,1.94,5.12,2.42,87.46,95.38,0.23,0.43,46.01,0.0,16.62,44.33,5.54,374.06
WhiteLaketownship,0.69,1.3,82.94,0.23,1.3089794956398777,5.63,4.36,6.2,82.93,94.06,0.61,1.57,57.66,0.0,12.92,202.34,38.75,374.06
Chickashacity,9.78,2.48,0.0,0.29,-1.541833608296017,10.04,23.15,9.5,68.5,85.28,6.94,13.73,50.54,26.23,98.37,347.56,45.9,1134.5
Tucsoncity,4.28,29.25,99.98,4.14,-1.1422342682064577,6.58,20.16,8.12,65.86,88.74,2.07,6.88,41.54,9.78,198.68,1142.94,36.0,969.6
Gallowaytownship,7.36,3.69,64.02,1.0,1.2376855998114542,3.11,4.35,4.1,79.01,89.49,0.86,1.68,40.26,4.19,41.87,192.61,29.31,251.24
Sweetwatercity,5.57,28.98,0.0,1.76,-1.4475606881923166,8.36,23.02,8.51,75.23,86.35,4.85,13.7,53.48,8.19,73.75,245.82,40.97,934.12
Portsmouthcity,4.6,2.0,100.0,0.8,-0.1001649776101814,4.68,6.68,5.12,75.93,90.85,2.5,2.85,39.91,0.0,66.98,334.91,43.06,377.97
Hulltown,0.89,1.08,100.0,1.02,0.7355644591091209,7.14,8.02,7.31,70.43,72.07,13.56,1.11,59.52,0.0,0.0,161.75,26.96,889.65
Scotttownship,0.59,0.55,100.0,0.48,0.3774452038651897,2.46,4.13,3.05,83.2,95.86,0.31,0.62,61.22,5.74,11.49,269.96,17.23,40.21
Pittsfieldtownship,16.58,2.1,70.5,0.93,0.3768559981145416,3.63,9.33,3.78,74.43,90.07,0.13,2.34,29.96,0.0,236.86,567.37,38.56,374.06
Duncanvillecity,12.06,6.65,100.0,0.56,1.1297431062927177,2.52,3.78,4.57,78.22,93.64,0.59,1.87,52.65,0.0,150.83,705.67,43.09,465.96
Mexicocity,9.4,0.42,0.0,0.13,-0.9070233325477256,8.81,14.35,4.48,71.5,91.41,1.86,7.3,56.53,8.83,26.48,88.26,0.0,150.04
NewProvidenceborough,0.54,2.7,100.0,1.23,3.6506009898656617,2.04,2.45,2.71,90.92,98.06,1.19,0.52,65.66,0.0,24.78,148.69,16.52,49.56
Barnstabletown,2.7,1.71,83.39,1.06,0.2321470657553617,5.68,6.78,7.22,71.82,71.04,0.96,1.71,52.01,4.67,67.74,298.99,0.0,1812.62
Rutherfordborough,3.01,5.78,100.0,3.21,1.7744520386518972,2.85,3.68,4.17,84.36,92.58,2.99,1.09,68.6,0.0,28.07,421.06,11.23,129.13
Portlandcity,7.67,3.17,100.0,2.17,-0.6892528871081782,6.9,14.53,6.16,66.43,94.4,5.5,4.47,46.0,12.65,502.59,1844.43,131.7,1841.38
Manassascity,10.33,5.73,100.0,2.59,1.7950742399245816,3.24,3.79,3.3,81.33,92.66,1.46,4.11,29.6,0.0,170.84,267.14,18.64,301.31
Torrancecity,1.45,10.07,100.0,5.83,1.8575300494932832,4.3,5.15,3.95,79.26,95.79,1.56,1.2,49.81,8.64,309.54,1226.66,38.87,620.53
SouthJordancity,0.06,2.06,100.0,0.84,1.4568701390525571,3.16,3.21,3.21,93.07,98.06,7.14,0.6,51.42,0.0,17.35,266.02,0.0,190.84
RedwoodCitycity,3.64,24.12,100.0,7.86,1.3576478906434126,5.3,8.3,3.82,72.39,94.96,0.59,1.85,46.52,4.4,155.59,664.94,2.94,726.59
Lancastertownship,3.03,3.4,97.79,0.76,0.5201508366721659,4.14,6.27,3.31,77.84,96.4,0.5,0.41,49.01,0.0,52.19,283.33,22.37,74.56
Algonquinvillage,0.17,1.73,100.0,0.26,2.618901720480792,0.18,1.65,2.29,92.11,97.48,2.0,0.93,43.22,0.0,15.21,38.02,45.63,374.06
Sebastiancity,1.06,1.79,0.0,0.44,-0.5641055856705162,3.65,6.77,5.66,80.47,89.87,0.21,3.16,32.16,0.0,8.5,101.99,0.0,339.96
GrandForkscity,0.8,1.19,100.0,0.3,-0.7052792835258073,4.64,14.48,5.08,75.26,94.6,0.85,2.77,41.07,0.0,27.78,386.88,27.78,121.02
NewHaventown,36.14,13.22,100.0,3.93,-0.6634456752297903,14.61,21.29,9.25,45.44,90.62,10.18,7.53,45.53,18.39,1035.08,1566.0,112.04,2127.02
Westwegocity,15.59,2.79,100.0,1.1,-1.5727079896299787,11.22,23.81,8.37,62.04,89.89,10.97,7.66,54.89,0.0,309.2,1309.57,18.19,809.39
Doltonvillage,38.14,4.53,100.0,0.83,0.6225547961348102,4.66,4.93,6.76,70.37,97.01,2.33,1.16,58.15,0.0,313.81,1275.35,4.02,374.06
Munstertown,0.44,2.65,100.0,1.26,2.0082488805090737,1.14,1.27,2.81,90.61,97.74,0.0,0.1,65.83,14.58,29.15,281.8,4.86,199.2
Newberrytown,41.48,0.69,0.0,0.23,-1.4586377563045014,12.4,25.22,9.13,52.0,93.05,3.73,16.32,54.36,0.0,141.42,150.84,9.43,1527.29
NorthTonawandacity,0.16,0.79,100.0,0.57,-0.2197737449917511,5.96,6.07,5.64,79.23,97.39,5.46,1.77,66.61,3.04,27.38,130.8,9.13,85.17
Redlandscity,3.83,18.96,100.0,3.07,0.6636813575300495,7.29,8.98,4.78,75.19,94.81,1.16,2.5,40.05,7.71,231.3,949.88,24.67,727.83
Avondalecity,4.62,51.15,0.0,8.21,-0.842446382276691,16.57,28.22,11.09,67.21,88.13,4.53,14.52,42.75,4.68,107.61,664.36,74.86,781.32
Lafayettecity,0.98,14.87,0.0,1.99,0.3230025925053028,3.85,8.43,3.93,75.31,93.37,0.52,2.58,41.11,0.0,33.89,158.15,39.54,367.13
Oshkoshcity,0.79,0.83,100.0,0.57,-0.7392175347631393,6.39,12.63,4.82,75.13,96.01,0.57,2.57,47.64,8.82,12.35,197.59,17.64,155.25
Tukwilacity,6.36,3.67,100.0,1.58,-0.1531934951685128,6.21,9.33,4.77,64.7,94.42,0.3,2.68,39.89,23.46,547.39,2252.11,109.48,1634.34
Dublincity,11.49,10.46,100.0,1.48,2.624204572236625,4.19,4.23,3.52,82.44,97.28,0.0,0.6,37.34,0.0,60.9,232.2,7.61,251.23
Breacity,1.08,15.45,100.0,3.36,2.3346688663681356,3.54,3.55,3.31,82.69,96.65,3.3,1.28,48.98,8.61,146.36,637.09,45.92,367.33
NorthAugustacity,15.59,0.67,100.0,0.15,0.1692198915861418,3.89,9.28,3.62,72.42,92.13,2.61,2.98,51.15,0.0,101.92,419.0,5.66,560.56
Tallahasseecity,29.09,3.0,100.0,0.85,-0.9413151072354466,4.59,22.32,5.56,61.16,91.35,2.24,3.43,34.91,6.63,581.91,1521.08,22.1,1981.45
Princetonborough,8.51,5.13,0.0,2.43,1.372967240160264,2.6,9.64,3.21,78.23,92.91,4.82,0.46,30.25,0.0,33.55,134.22,8.39,83.89
Menomoniecity,1.2,0.82,0.0,0.85,-1.1841857176526045,6.35,28.82,7.56,75.39,95.24,0.46,1.36,31.89,0.0,13.29,232.57,19.93,39.87
Sturgiscity,0.75,1.33,0.0,0.25,-0.9190431298609476,7.37,11.86,5.25,67.94,95.35,1.04,13.48,54.96,0.0,19.08,152.67,19.08,374.06
Alpharettacity,2.55,1.85,98.55,1.21,1.5194437897713882,1.94,3.73,2.63,80.28,89.43,0.48,0.19,30.38,0.0,0.0,206.12,0.0,60.9
Jeffersontownship,0.76,2.23,44.04,0.85,2.0560923874617014,2.86,2.43,2.94,86.32,88.97,2.55,1.17,63.58,0.0,5.42,86.65,10.83,70.4
StevensPointcity,0.51,0.85,0.0,1.24,-1.0896771152486449,7.35,21.61,5.96,73.08,95.57,0.79,2.55,40.95,4.66,0.0,144.59,46.64,242.54
Woodlandcity,1.26,26.16,0.0,5.43,0.0271034645298138,10.34,9.59,7.85,72.38,95.82,1.94,4.04,43.89,4.65,74.4,692.81,109.27,574.24
NorthBrunswicktownship,11.07,5.81,100.0,3.33,2.175229790242753,3.06,2.67,3.08,81.65,94.82,1.11,0.62,48.19,0.0,128.85,536.86,24.54,288.37
Springfieldcity,17.38,0.65,100.0,0.28,-1.18241810040066,14.47,20.87,8.74,62.98,92.17,8.42,8.94,50.9,8.49,294.21,646.41,8.49,1497.92
Richfieldcity,2.61,1.07,100.0,0.73,0.1135988687249587,4.4,5.55,3.61,73.49,96.63,0.18,0.85,58.81,0.0,112.22,480.52,14.39,374.06
Corsicanacity,25.51,9.09,0.0,1.78,-1.2023332547725665,8.44,21.04,8.15,67.01,89.05,2.94,12.35,51.89,0.0,162.83,252.82,89.99,681.32
Wabashcity,0.54,1.15,0.0,0.55,-0.7423992458166392,6.23,11.79,6.72,75.76,95.06,0.82,11.0,56.5,0.0,8.09,194.19,8.09,194.19
Woostercity,3.49,0.63,0.0,0.19,-0.5058920575064813,7.74,12.69,5.93,73.14,95.39,2.4,4.35,45.18,0.0,30.91,128.07,30.91,185.48
LosAngelescity,13.99,39.92,100.0,17.45,-0.0608060334668866,10.68,18.86,8.34,65.54,93.65,2.93,4.11,46.34,31.04,1108.27,1724.19,147.68,2414.77
Harrisontown,0.57,29.4,100.0,16.23,0.2979024275276927,3.81,11.55,7.53,78.15,94.88,4.96,5.41,55.94,0.0,249.24,1827.79,7.55,581.57
Swanseatown,0.34,0.59,65.76,1.46,1.0223898185246287,7.85,4.92,4.6,87.21,96.0,8.68,0.44,74.48,0.0,98.5,350.9,178.53,197.0
Superiorcity,0.53,0.52,100.0,0.52,-1.241574357765732,12.76,17.1,9.73,64.68,94.15,9.08,3.59,58.23,3.6,54.02,360.13,104.44,273.7
Monroecity,4.62,1.81,0.0,0.85,-0.2772802262550082,13.49,15.39,7.38,69.43,95.36,3.41,4.08,58.47,0.0,93.43,237.82,55.21,374.06
Madisontownship,2.27,0.64,69.9,0.17,0.4871553146358708,2.79,4.1,4.98,81.33,97.03,1.52,2.34,59.5,0.0,9.45,99.2,42.51,240.92
Seasidecity,23.47,17.45,100.0,5.54,-0.328305444261136,7.86,12.22,4.37,76.63,94.69,2.18,2.85,29.96,18.55,374.07,262.78,64.92,1085.11
Grapevinecity,1.79,5.67,99.89,1.01,2.0575064812632573,2.04,4.24,3.09,83.43,92.12,1.49,3.3,28.21,0.0,40.14,184.65,37.46,291.69
Columbiacity,9.93,1.31,100.0,1.57,-1.1055856705161442,4.87,22.42,4.91,70.25,93.79,2.92,3.85,27.44,1.34,144.55,222.17,40.15,587.55
Lebanoncity,0.16,2.11,0.0,0.26,-1.2644355408908792,10.26,18.76,10.38,69.32,95.13,1.35,6.39,45.97,0.0,16.68,316.9,0.0,650.49
WestChesterborough,17.71,7.57,100.0,1.28,-0.0210935658732029,6.29,17.07,5.7,57.91,94.63,5.76,2.68,37.64,0.0,153.46,291.04,31.75,465.66
Eatontownborough,12.49,4.64,100.0,2.19,0.6390525571529578,2.13,5.14,4.16,81.05,89.32,0.77,0.51,42.34,0.0,99.36,313.36,0.0,221.64
Parkersburgcity,1.7,0.29,100.0,0.44,-1.293895828423285,9.42,18.99,8.01,67.27,88.51,3.41,9.3,56.47,9.03,54.2,198.74,111.41,216.8
Spokanecity,1.93,2.08,100.0,0.85,-1.089912797548904,10.99,17.34,8.12,63.8,94.08,5.54,4.96,46.37,6.63,180.65,372.53,37.76,795.08
Durangocity,0.31,11.62,0.0,1.31,-0.9951685128446852,4.26,18.78,6.45,70.24,93.47,0.93,5.61,38.66,7.09,63.84,248.26,0.0,361.75
Aberdeencity,0.29,2.55,0.0,0.56,-1.1405844921046429,11.64,18.3,10.96,66.09,91.84,5.02,7.9,50.82,5.84,116.76,245.2,157.63,525.42
Sumtercity,38.25,1.58,100.0,0.48,-1.2043365543247702,12.39,20.71,5.4,68.18,93.31,2.74,9.27,42.04,11.66,417.46,396.47,4.66,1462.29
Burrillvilletown,0.1,0.44,1.86,0.74,0.6734621729908083,3.99,5.55,6.21,85.45,92.38,1.6,0.66,58.0,0.0,0.0,53.77,5.97,89.61
AnnArborcity,9.04,2.58,100.0,1.41,0.2242517086966768,3.2,16.08,3.81,75.87,94.65,1.1,1.05,32.91,1.83,117.89,237.61,31.99,374.06
Derrytown,0.93,1.37,0.0,0.57,1.4115012962526514,3.1,3.79,5.47,83.82,90.72,4.17,2.19,43.71,0.0,23.4,340.98,103.63,227.32
Daniacity,31.3,6.09,100.0,2.64,-0.9629978788592976,6.41,20.64,8.89,49.89,75.26,4.41,8.39,49.25,28.26,989.26,2070.38,49.46,2649.8
Salemcity,0.47,0.48,0.0,0.17,-0.9140938015555032,7.59,13.85,5.19,75.67,94.51,3.09,6.51,55.22,0.0,0.0,77.54,7.75,46.52
Greendalevillage,0.15,1.18,100.0,0.61,1.5665802498232382,2.13,2.32,2.38,83.29,97.04,0.0,0.0,65.23,6.78,33.92,244.2,0.0,74.62
UnionCitycity,5.11,75.62,100.0,30.91,-0.6818288946500117,13.18,18.18,10.87,59.81,91.24,2.37,11.73,54.33,1.77,507.07,950.53,12.37,871.02
FosterCitycity,3.23,5.77,100.0,3.38,3.419868017911855,2.07,2.95,3.4,82.87,95.43,0.19,0.0,42.19,3.38,57.39,216.07,20.26,185.69
Flintcity,47.94,2.85,100.0,0.64,-1.3274805562102283,23.81,30.58,18.29,42.57,91.78,20.85,10.3,55.55,34.55,747.84,1660.5,178.53,374.06
NewBrunswickcity,29.58,19.33,100.0,7.03,-0.3714353052085788,10.16,21.96,8.85,50.14,93.77,7.46,8.98,38.48,12.05,749.76,812.44,45.81,1501.93
Houmacity,24.96,1.41,100.0,1.04,-1.4192788121612068,12.93,26.41,8.38,67.57,92.87,6.72,8.66,58.39,15.87,247.56,311.04,12.7,1450.47
EastPaloAltocity,42.94,36.36,100.0,14.8,-0.2633749705397125,16.44,17.55,10.6,56.09,94.59,10.3,4.77,49.67,15.4,746.87,1131.86,142.44,2344.56
Brentwoodcity,1.59,0.5,100.0,0.44,4.577657317935423,1.63,1.39,3.1,92.24,95.68,0.42,0.0,47.37,4.63,9.27,101.96,0.0,64.88
LeagueCitycity,5.13,11.74,99.49,2.02,1.6028753240631628,1.82,4.92,3.09,84.23,93.01,2.14,3.13,40.8,0.0,37.04,243.4,0.0,129.64
NewIberiacity,33.32,2.28,0.0,1.77,-1.5242752769267027,14.23,28.67,13.03,64.43,89.67,5.14,10.32,60.27,5.91,144.68,253.93,21.08,345.46
