communityname,racepctblack,pctUrban,pctWPubAsst,PctPopUnderPov,PctHousOccup,PctSameHouse85,arsons,arsonsPerPop
Laredocity,0.12,100.0,16.71,37.29,94.21,60.11,4.394449154672439,52.38
Amsterdamcity,1.46,0.0,7.08,13.5,92.49,61.42,1.791759469228055,21.08
Gorhamtown,0.37,33.1,4.56,4.05,96.69,51.97,0.0,0.0
RockSpringscity,1.17,0.0,5.74,8.87,88.47,54.59,0.0,0.0
Oakdalecity,0.24,0.0,13.22,12.63,95.98,39.82,2.6390573296152584,93.97
Hendersoncity,52.88,0.0,13.17,24.07,93.34,57.15,2.3978952727983707,61.28
Norcocity,7.95,100.0,5.92,5.34,96.66,45.88,2.772588722239781,60.58
Greenvillecity,59.63,0.0,18.48,31.96,92.91,59.55,4.060443010546419,128.09
SanCarloscity,0.94,100.0,2.52,2.73,97.41,58.4,0.0,0.0
SanAngelocity,4.8,100.0,6.25,18.5,88.57,45.39,1.791759469228055,21.08
Barbertoncity,5.26,100.0,12.39,16.93,94.47,59.58,2.995732273553991,68.09
Pontiaccity,42.2,100.0,22.07,26.67,93.17,51.8,4.110873864173311,86.12
Suffolkcity,44.58,74.94,10.49,17.28,92.53,59.38,3.295836866004329,46.87
Martinsvillecity,36.84,0.0,8.64,15.61,93.56,61.23,2.302585092994046,56.33
Bricktownship,0.63,100.0,3.6,3.74,86.55,61.13,2.70805020110221,20.45
LagunaBeachcity,0.7,100.0,2.75,6.14,86.31,44.53,1.3862943611198906,12.48
Robstowncity,1.85,0.0,24.32,37.04,86.6,69.4,2.1972245773362196,59.08
Wyomingcity,2.72,100.0,4.69,7.07,96.46,53.39,2.6390573296152584,20.18
Hastingscity,0.31,0.0,3.41,5.0,97.4,51.79,0.6931471805599453,6.05
Paragouldcity,0.09,0.0,8.77,18.82,94.03,52.41,0.6931471805599453,4.65
BeverlyHillscity,1.7,100.0,3.47,6.6,92.63,52.74,2.70805020110221,42.05
UniversityHeightscity,16.34,100.0,2.47,2.9,97.45,53.8,0.0,0.0
Marioncity,4.22,0.0,12.41,16.85,92.53,53.95,1.3862943611198906,8.63
Toledocity,19.7,100.0,12.29,19.09,92.09,56.77,5.8805329864007,110.19
Philadelphiacity,39.86,100.0,13.98,20.27,89.36,64.33,7.733245646529795,149.17
Newtoncity,2.08,100.0,2.91,4.33,96.58,60.43,0.0,0.0
OrmondBeachcity,3.52,100.0,4.52,6.72,89.52,46.85,0.0,0.0
Lynchburgcity,26.41,100.0,7.54,16.45,92.33,52.6,3.9318256327243257,74.45
Clintoncity,17.14,100.0,3.8,9.48,94.61,46.9,1.791759469228055,21.91
Andersoncity,34.26,100.0,8.88,19.89,91.36,50.04,1.3862943611198906,10.07
Mesquitecity,5.83,100.0,4.08,7.73,91.35,43.88,4.543294782270004,80.33
ParkForestvillage,24.63,100.0,4.16,4.89,96.58,57.89,1.6094379124341005,15.77
ChippewaFallscity,0.11,100.0,8.75,11.12,95.58,54.71,1.6094379124341005,29.66
Beavercreekcity,0.92,100.0,1.98,3.51,96.25,57.26,3.295836866004329,68.59
Keenecity,0.28,0.0,4.67,8.06,94.91,47.1,2.70805020110221,62.2
Springfieldtownship,2.55,73.6,5.23,8.79,97.29,63.34,2.6390573296152584,32.86
Swissvaleborough,9.69,100.0,8.65,12.53,93.22,64.43,2.302585092994046,85.21
Knoxvillecity,15.78,100.0,9.69,20.8,91.52,47.86,5.159055299214529,100.6
Kernersvilletown,5.59,0.0,2.24,8.46,93.81,34.76,0.6931471805599453,7.46
Bloomingtoncity,1.61,100.0,2.63,3.7,96.29,54.64,1.791759469228055,21.08
ScotchPlainstownship,11.1,100.0,2.35,1.49,97.46,70.79,1.0986122886681098,9.21
Newingtontown,1.41,100.0,2.87,1.79,96.67,64.52,0.6931471805599453,3.42
Moberlycity,7.24,0.0,6.53,18.27,89.41,50.83,0.6931471805599453,7.88
Sandycity,0.19,100.0,2.59,4.21,96.58,51.8,1.791759469228055,5.73
Wheatoncity,2.53,100.0,1.94,5.12,95.38,46.01,1.3862943611198906,5.54
WhiteLaketownship,0.69,82.94,5.63,4.36,94.06,57.66,2.302585092994046,38.75
Chickashacity,9.78,0.0,10.04,23.15,85.28,50.54,2.0794415416798357,45.9
Tucsoncity,4.28,99.98,6.58,20.16,88.74,41.54,5.093750200806762,36.0
Gallowaytownship,7.36,64.02,3.11,4.35,89.49,40.26,2.0794415416798357,29.31
Sweetwatercity,5.57,0.0,8.36,23.02,86.35,53.48,1.791759469228055,40.97
Portsmouthcity,4.6,100.0,4.68,6.68,90.85,39.91,2.302585092994046,43.06
Hulltown,0.89,100.0,7.14,8.02,72.07,59.52,1.3862943611198906,26.96
Scotttownship,0.59,100.0,2.46,4.13,95.86,61.22,1.3862943611198906,17.23
Pittsfieldtownship,16.58,70.5,3.63,9.33,90.07,29.96,2.0794415416798357,38.56
Duncanvillecity,12.06,100.0,2.52,3.78,93.64,52.65,2.833213344056216,43.09
Mexicocity,9.4,0.0,8.81,14.35,91.41,56.53,0.0,0.0
NewProvidenceborough,0.54,100.0,2.04,2.45,98.06,65.66,1.0986122886681098,16.52
Barnstabletown,2.7,83.39,5.68,6.78,71.04,52.01,0.0,0.0
Rutherfordborough,3.01,100.0,2.85,3.68,92.58,68.6,1.0986122886681098,11.23
Portlandcity,7.67,100.0,6.9,14.53,94.4,46.0,6.405228458030842,131.7
Manassascity,10.33,100.0,3.24,3.79,92.66,29.6,1.9459101490553132,18.64
Torrancecity,1.45,100.0,4.3,5.15,95.79,49.81,4.007333185232471,38.87
SouthJordancity,0.06,100.0,3.16,3.21,98.06,51.42,0.0,0.0
RedwoodCitycity,3.64,100.0,5.3,8.3,94.96,46.52,1.0986122886681098,2.94
Lancastertownship,3.03,97.79,4.14,6.27,96.4,49.01,1.3862943611198906,22.37
Algonquinvillage,0.17,100.0,0.18,1.65,97.48,43.22,1.9459101490553132,45.63
Sebastiancity,1.06,0.0,3.65,6.77,89.87,32.16,0.0,0.0
GrandForkscity,0.8,100.0,4.64,14.48,94.6,41.07,2.70805020110221,27.78
NewHaventown,36.14,100.0,14.61,21.29,90.62,45.53,4.90527477843843,112.04
Westwegocity,15.59,100.0,11.22,23.81,89.89,54.89,1.0986122886681098,18.19
Doltonvillage,38.14,100.0,4.66,4.93,97.01,58.15,0.6931471805599453,4.02
Munstertown,0.44,100.0,1.14,1.27,97.74,65.83,0.6931471805599453,4.86
Newberrytown,41.48,0.0,12.4,25.22,93.05,54.36,0.6931471805599453,9.43
NorthTonawandacity,0.16,100.0,5.96,6.07,97.39,66.61,1.3862943611198906,9.13
Redlandscity,3.83,100.0,7.29,8.98,94.81,40.05,2.833213344056216,24.67
Avondalecity,4.62,0.0,16.57,28.22,88.13,42.75,2.833213344056216,74.86
Lafayettecity,0.98,0.0,3.85,8.43,93.37,41.11,2.0794415416798357,39.54
Oshkoshcity,0.79,100.0,6.39,12.63,96.01,47.64,2.3978952727983707,17.64
Tukwilacity,6.36,100.0,6.21,9.33,94.42,39.89,2.70805020110221,109.48
Dublincity,11.49,100.0,4.19,4.23,97.28,37.34,1.0986122886681098,7.61
Breacity,1.08,100.0,3.54,3.55,96.65,48.98,2.833213344056216,45.92
NorthAugustacity,15.59,100.0,3.89,9.28,92.13,51.15,0.6931471805599453,5.66
Tallahasseecity,29.09,100.0,4.59,22.32,91.35,34.91,3.4339872044851463,22.1
Princetonborough,8.51,0.0,2.6,9.64,92.91,30.25,0.6931471805599453,8.39
Menomoniecity,1.2,0.0,6.35,28.82,95.24,31.89,1.3862943611198906,19.93
Sturgiscity,0.75,0.0,7.37,11.86,95.35,54.96,1.0986122886681098,19.08
Alpharettacity,2.55,98.55,1.94,3.73,89.43,30.38,0.0,0.0
Jeffersontownship,0.76,44.04,2.86,2.43,88.97,63.58,1.0986122886681098,10.83
StevensPointcity,0.51,0.0,7.35,21.61,95.57,40.95,2.3978952727983707,46.64
Woodlandcity,1.26,0.0,10.34,9.59,95.82,43.89,3.871201010907891,109.27
NorthBrunswicktownship,11.07,100.0,3.06,2.67,94.82,48.19,2.1972245773362196,24.54
Springfieldcity,17.38,100.0,14.47,20.87,92.17,50.9,1.9459101490553132,8.49
Richfieldcity,2.61,100.0,4.4,5.55,96.63,58.81,1.791759469228055,14.39
Corsicanacity,25.51,0.0,8.44,21.04,89.05,51.89,3.091042453358316,89.99
Wabashcity,0.54,0.0,6.23,11.79,95.06,56.5,0.6931471805599453,8.09
Woostercity,3.49,0.0,7.74,12.69,95.39,45.18,2.0794415416798357,30.91
LosAngelescity,13.99,100.0,10.68,18.86,93.65,46.34,8.540909718033554,147.68
Harrisontown,0.57,100.0,3.81,11.55,94.88,55.94,0.6931471805599453,7.55
Swanseatown,0.34,65.76,7.85,4.92,96.0,74.48,3.4011973816621555,178.53
Superiorcity,0.53,100.0,12.76,17.1,94.15,58.23,3.4011973816621555,104.44
Monroecity,4.62,0.0,13.49,15.39,95.36,58.47,2.6390573296152584,55.21
Madisontownship,2.27,69.9,2.79,4.1,97.03,59.5,2.302585092994046,42.51
Seasidecity,23.47,100.0,7.86,12.22,94.69,29.96,3.091042453358316,64.92
Grapevinecity,1.79,99.89,2.04,4.24,92.12,28.21,2.70805020110221,37.46
Columbiacity,9.93,100.0,4.87,22.42,93.79,27.44,3.4339872044851463,40.15
Lebanoncity,0.16,0.0,10.26,18.76,95.13,45.97,0.0,0.0
WestChesterborough,17.71,100.0,6.29,17.07,94.63,37.64,1.9459101490553132,31.75
Eatontownborough,12.49,100.0,2.13,5.14,89.32,42.34,0.0,0.0
Parkersburgcity,1.7,100.0,9.42,18.99,88.51,56.47,3.6375861597263857,111.41
Spokanecity,1.93,100.0,10.99,17.34,94.08,46.37,4.31748811353631,37.76
Durangocity,0.31,0.0,4.26,18.78,93.47,38.66,0.0,0.0
Aberdeencity,0.29,0.0,11.64,18.3,91.84,50.82,3.332204510175204,157.63
Sumtercity,38.25,100.0,12.39,20.71,93.31,42.04,1.0986122886681098,4.66
Burrillvilletown,0.1,1.86,3.99,5.55,92.38,58.0,0.6931471805599453,5.97
AnnArborcity,9.04,100.0,3.2,16.08,94.65,32.91,3.58351893845611,31.99
Derrytown,0.93,0.0,3.1,3.79,90.72,43.71,3.4657359027997265,103.63
Daniacity,31.3,100.0,6.41,20.64,75.26,49.25,2.0794415416798357,49.46
Salemcity,0.47,0.0,7.59,13.85,94.51,55.22,0.6931471805599453,7.75
Greendalevillage,0.15,100.0,2.13,2.32,97.04,65.23,0.0,0.0
UnionCitycity,5.11,100.0,13.18,18.18,91.24,54.33,2.0794415416798357,12.37
FosterCitycity,3.23,100.0,2.07,2.95,95.43,42.19,1.9459101490553132,20.26
Flintcity,47.94,100.0,23.81,30.58,91.78,55.55,5.82600010738045,178.53
NewBrunswickcity,29.58,100.0,10.16,21.96,93.77,38.48,2.995732273553991,45.81
Houmacity,24.96,100.0,12.93,26.41,92.87,58.39,1.6094379124341005,12.7
EastPaloAltocity,42.94,100.0,16.44,17.55,94.59,49.67,3.6375861597263857,142.44
Brentwoodcity,1.59,100.0,1.63,1.39,95.68,47.37,0.0,0.0
LeagueCitycity,5.13,99.49,1.82,4.92,93.01,40.8,0.0,0.0
NewIberiacity,33.32,0.0,14.23,28.67,89.67,60.27,1.791759469228055,21.08
Astontownship,0.36,100.0,4.84,3.15,97.89,69.64,1.9459101490553132,39.12
GloucesterCitycity,0.23,100.0,8.84,9.18,93.25,67.4,0.0,0.0
Shalertownship,0.22,100.0,2.63,2.95,98.13,73.57,0.6931471805599453,3.22
Arnoldcity,0.14,100.0,2.87,5.38,95.39,58.72,1.6094379124341005,19.75
Goshentownship,0.44,47.15,4.92,8.41,97.03,59.15,0.6931471805599453,7.67
Chestercity,65.17,100.0,19.65,25.16,88.04,60.94,4.143134726391533,156.83
UnionCitycity,21.14,0.0,9.65,17.18,93.4,56.88,2.0794415416798357,63.69
Tampacity,25.05,100.0,9.46,19.44,88.52,47.85,5.3706380281276624,73.82
Dallascity,29.5,100.0,5.77,17.97,86.35,44.14,7.1891677384203225,127.05
Searcycity,4.72,0.0,7.4,17.5,94.04,37.99,0.0,0.0
Bellinghamcity,0.79,100.0,6.3,16.68,95.82,36.71,3.4657359027997265,53.39
BullheadCitycity,0.52,0.0,5.39,12.8,65.59,32.66,2.995732273553991,67.55
CulverCitycity,10.38,100.0,4.22,6.68,95.41,53.61,0.6931471805599453,2.53
Newbergcity,0.24,0.0,5.79,10.71,97.2,38.74,1.9459101490553132,40.29
Readingcity,9.71,100.0,11.99,19.41,91.62,55.06,3.970291913552122,66.35
Rustoncity,33.9,0.0,7.7,30.26,90.4,40.08,1.6094379124341005,19.76
Richmondcity,43.76,100.0,15.69,16.1,94.84,51.11,4.727387818712341,126.72
Methuentown,1.02,95.02,6.21,7.2,94.86,65.72,2.1972245773362196,19.42
Florissantcity,4.06,100.0,3.13,3.29,96.87,67.8,2.4849066497880004,21.22
WestFargocity,0.1,100.0,3.85,7.44,96.85,51.87,1.9459101490553132,43.37
Douglascity,1.07,0.0,19.94,43.13,92.7,55.97,0.0,0.0
Selmacity,58.44,0.0,19.72,35.71,91.37,58.4,1.791759469228055,21.08
Nortoncity,1.04,100.0,4.19,5.4,97.32,63.38,1.6094379124341005,33.8
Missioncity,0.16,100.0,16.45,37.33,78.02,61.69,2.833213344056216,40.86
Middletownship,13.09,0.0,5.91,7.99,76.7,56.46,1.6094379124341005,26.46
MountLaureltownship,5.97,93.19,1.47,1.99,93.9,45.29,1.0986122886681098,6.45
Greeleycity,0.67,99.71,7.57,19.46,94.4,38.95,3.737669618283368,62.32
CostaMesacity,1.33,100.0,4.31,9.17,94.59,38.03,3.295836866004329,26.28
LosAlamitoscity,3.0,100.0,2.3,4.38,96.12,44.21,2.8903717578961645,140.81
SouthOrangeVillagetownship,18.69,100.0,2.1,3.03,94.35,58.51,0.0,0.0
RedBluffcity,0.56,0.0,20.02,20.41,95.06,43.85,2.302585092994046,67.41
Plainfieldtown,0.44,0.0,3.1,4.59,96.68,48.8,1.0986122886681098,12.68
Fredericksburgcity,21.63,100.0,5.7,12.29,92.4,40.95,2.5649493574615367,53.61
Colleyvillecity,0.67,100.0,1.53,1.25,95.01,41.63,0.6931471805599453,5.29
Pittsburgcity,17.58,100.0,12.03,10.79,93.62,44.42,2.9444389791664403,34.42
MissionViejocity,0.93,100.0,1.79,1.96,95.38,41.92,3.58351893845611,41.55
LongBeachcity,13.68,100.0,11.35,16.82,93.3,40.38,5.497168225293202,55.73
Duluthcity,0.87,100.0,9.7,16.57,95.95,54.5,2.70805020110221,16.51
Shelbycity,42.5,0.0,12.54,19.27,93.93,53.44,2.0794415416798357,43.57
Coronacity,2.76,100.0,6.57,8.31,90.13,32.85,3.1780538303479458,24.63
Beverlycity,0.86,100.0,6.8,6.62,94.53,57.57,1.6094379124341005,10.27
CoralSpringscity,3.48,100.0,2.15,5.16,90.7,33.35,1.6094379124341005,4.25
NorthBranfordtown,1.26,79.22,3.17,2.05,97.2,71.27,0.0,0.0
Geneseetownship,8.16,84.64,11.82,13.77,95.25,64.11,2.302585092994046,36.36
SanBrunocity,4.08,100.0,4.56,4.77,96.46,53.45,2.3978952727983707,24.54
Valdostacity,43.48,0.0,12.64,23.83,90.61,42.6,1.3862943611198906,6.56
OklahomaCitycity,15.98,98.74,6.57,15.86,84.13,46.68,6.042632833682381,90.08
PortLavacacity,4.68,0.0,5.47,20.44,87.59,57.62,1.9459101490553132,50.99
Alicecity,0.89,0.0,15.26,28.5,88.51,62.75,3.1354942159291497,106.02
Sterlingcity,0.18,0.0,7.1,16.91,90.11,52.32,1.0986122886681098,18.94
Coronadocity,6.85,100.0,4.04,4.07,80.12,26.25,2.302585092994046,41.02
Bremertoncity,7.13,99.52,11.14,18.1,93.79,33.7,1.9459101490553132,13.95
RapidCitycity,1.27,100.0,6.79,13.65,93.88,42.47,1.791759469228055,21.08
LaPalmacity,4.17,100.0,3.2,5.89,97.57,58.81,2.5649493574615367,74.59
Glenviewvillage,0.77,100.0,1.89,1.71,96.98,59.26,0.0,0.0
Dinubacity,0.24,0.0,23.93,22.58,97.31,47.28,0.6931471805599453,7.34
TempleTerracecity,5.38,100.0,1.72,6.67,93.52,39.88,0.0,0.0
Bendcity,0.19,0.0,5.1,13.15,94.69,34.94,2.1972245773362196,32.82
Bernardstownship,1.72,90.8,1.51,1.52,95.3,47.92,0.0,0.0
Pocatellocity,0.86,100.0,5.4,15.34,91.55,47.0,2.3978952727983707,19.63
Clearlakecity,4.35,0.0,22.96,22.15,70.8,40.94,2.6390573296152584,99.24
Gulfportcity,28.59,100.0,9.1,20.32,86.63,50.64,3.091042453358316,31.64
Fremontcity,7.73,0.0,9.69,14.66,94.99,58.92,2.0794415416798357,38.44
Midlandcity,1.72,0.0,5.61,9.26,95.9,49.31,1.9459101490553132,15.08
Laurelcity,48.1,0.0,15.06,30.18,86.71,52.95,2.1972245773362196,40.9
MountVernoncity,55.3,100.0,9.57,11.8,95.97,65.5,3.332204510175204,41.07
Raytowncity,3.25,100.0,3.48,4.78,96.07,60.29,3.1780538303479458,76.16
Natchitochescity,49.86,0.0,17.48,39.79,87.59,48.81,0.0,0.0
Lebanoncity,3.2,0.0,5.12,8.65,96.87,42.98,0.6931471805599453,8.55
Pariscity,22.12,0.0,12.11,25.43,87.62,55.03,2.70805020110221,55.97
Hawthorneborough,0.42,100.0,1.6,3.42,96.82,67.82,0.0,0.0
DeSotocity,20.83,100.0,2.48,3.98,92.31,42.2,2.302585092994046,25.31
SunPrairiecity,0.67,0.0,3.28,3.13,98.02,47.61,1.9459101490553132,34.19
Hendersonvillecity,2.33,100.0,2.04,4.49,91.73,44.72,0.6931471805599453,2.69
BoyntonBeachcity,20.12,100.0,4.35,9.59,79.44,48.19,1.9459101490553132,11.54
Raritantownship,0.79,0.0,1.45,2.31,94.03,42.4,0.0,0.0
TraverseCitycity,0.23,0.0,4.71,8.7,94.6,49.44,1.0986122886681098,12.67
Rockwallcity,3.73,100.0,1.88,7.64,89.29,39.47,2.0794415416798357,50.17
Meridiancity,45.35,0.0,12.46,27.76,91.15,56.39,2.3978952727983707,23.23
NewPortRicheycity,0.48,100.0,5.54,14.61,82.78,44.9,1.6094379124341005,26.11
LowerAllentownship,5.43,93.23,2.88,3.65,95.8,57.11,0.0,0.0
Willingborotownship,56.07,100.0,4.48,4.47,98.29,62.87,2.9444389791664403,48.45
RidgefieldParkvillage,2.03,100.0,4.92,5.1,96.9,65.9,0.6931471805599453,7.95
Emmetttownship,1.2,67.6,10.29,11.94,95.55,61.0,2.833213344056216,144.69
Hinghamtown,0.46,95.18,3.98,2.64,96.56,68.35,0.0,0.0
ElDoradocity,37.7,0.0,10.45,24.83,89.18,60.45,1.3862943611198906,12.41
Westbrookcity,0.61,100.0,6.53,9.67,95.95,53.51,1.9459101490553132,38.1
Newburghcity,34.81,100.0,13.06,26.23,90.13,49.06,3.1354942159291497,85.74
Butlertownship,0.41,0.0,5.42,7.56,96.72,70.14,0.0,0.0
Lindencity,20.01,100.0,6.09,5.63,96.33,68.53,2.833213344056216,43.53
Kalamazoocity,18.75,100.0,13.37,26.23,93.4,37.68,4.454347296253507,103.53
ForestParkcity,19.14,100.0,5.83,11.95,90.16,52.89,2.70805020110221,83.78
Viennatown,4.11,100.0,1.57,3.1,97.0,55.7,1.6094379124341005,25.08
Westfieldtown,4.58,100.0,1.75,1.79,97.18,66.74,0.6931471805599453,3.39
GrandTerracecity,3.77,100.0,6.4,3.64,95.02,44.77,0.0,0.0
Carsoncity,26.14,100.0,9.1,6.95,97.41,59.7,3.80666248977032,48.63
Berkeleytownship,1.04,88.74,3.56,4.57,88.63,57.2,2.0794415416798357,18.21
Auburncity,6.81,0.0,10.03,13.8,94.12,57.31,1.0986122886681098,6.51
Hilliardcity,0.7,100.0,3.34,4.18,92.23,45.01,2.5649493574615367,71.45
Davietown,3.85,100.0,2.99,7.77,90.03,36.21,1.791759469228055,8.59
Greenfieldtown,0.85,0.0,12.51,11.93,95.22,52.7,0.0,0.0
Weirtoncity,4.14,100.0,6.22,9.48,94.77,70.13,1.3862943611198906,13.92
Lenoircity,15.78,0.0,9.1,17.55,93.55,60.29,2.0794415416798357,46.97
Independencecity,0.41,100.0,5.47,5.82,93.95,55.11,0.0,0.0
Lomitacity,2.92,100.0,7.37,10.68,95.35,45.07,1.9459101490553132,28.83
Milfordtown,1.52,100.0,3.14,3.72,93.56,66.71,1.791759469228055,10.18
Kokomocity,8.9,100.0,8.04,16.45,91.76,53.78,1.791759469228055,10.77
WestMonroecity,17.37,100.0,8.79,21.01,89.53,52.37,2.1972245773362196,55.41
RedWingcity,0.35,0.0,5.43,9.53,96.71,52.8,1.791759469228055,31.47
RedondoBeachcity,1.6,100.0,3.53,5.59,94.67,39.07,1.3862943611198906,4.65
Leesburgcity,27.56,0.0,9.09,19.62,86.65,48.94,1.6094379124341005,20.29
Sanfordtown,0.18,0.0,7.86,10.4,91.94,52.98,0.0,0.0
Mariettacity,1.28,0.0,11.17,17.68,91.58,52.36,0.0,0.0
LakeOswegocity,0.52,100.0,1.42,3.69,95.25,39.43,2.833213344056216,47.44
Renocity,2.88,100.0,4.38,11.52,93.32,31.66,4.290459441148391,47.28
Johnstontown,0.57,86.82,6.0,6.73,96.25,68.99,1.791759469228055,18.26
GlendaleHeightsvillage,2.77,100.0,2.75,2.7,94.15,47.93,1.3862943611198906,10.26
Rockfordcity,14.97,100.0,8.61,13.35,94.31,52.83,4.07753744390572,40.64
LaPuentecity,3.54,100.0,14.06,14.02,97.14,53.77,1.9459101490553132,15.3
WalnutCreekcity,1.05,100.0,2.57,3.81,94.59,47.97,3.1780538303479458,36.89
Wausaucity,0.13,100.0,7.98,11.7,96.08,54.29,1.9459101490553132,15.34
UpperDarbytownship,3.04,100.0,5.62,6.99,95.99,63.44,0.6931471805599453,1.21
Louisvillecity,0.83,0.0,2.44,4.65,96.38,41.69,0.6931471805599453,5.61
Napervillecity,2.1,100.0,1.3,1.52,94.16,39.81,2.995732273553991,20.52
Hollistercity,0.62,0.0,9.5,11.71,94.76,48.34,3.295836866004329,117.6
SaddleBrooktownship,1.06,100.0,4.91,3.77,97.24,66.93,0.6931471805599453,7.2
Newportcity,8.08,100.0,9.15,12.47,85.5,41.9,3.784189633918261,178.53
Quincycity,1.09,100.0,6.92,6.82,94.56,58.14,3.091042453358316,24.85
Eagancity,2.41,100.0,2.01,2.83,94.46,33.38,2.3978952727983707,17.38
MapleGrovecity,0.87,100.0,1.4,2.32,96.63,48.48,1.791759469228055,10.62
RockHillcity,38.14,100.0,7.67,16.38,93.54,50.02,1.791759469228055,10.61
Arvadacity,0.57,100.0,3.13,6.28,94.8,53.12,3.332204510175204,27.6
Monroecity,0.09,0.0,5.79,6.46,96.69,55.77,1.791759469228055,47.02
YubaCitycity,2.6,100.0,14.42,18.56,95.62,34.93,2.302585092994046,27.6
Pawtucketcity,3.59,100.0,8.73,10.59,93.98,58.07,2.70805020110221,20.43
Wichitacity,11.28,100.0,6.29,12.47,91.25,46.59,1.791759469228055,21.08
Denvilletownship,0.66,76.32,3.37,2.06,96.38,67.12,0.0,0.0
Lancastercity,0.51,0.0,8.72,14.11,94.76,53.1,0.0,0.0
Perriscity,12.99,0.0,14.13,15.73,86.66,26.9,4.07753744390572,178.53
SaltLakeCitycity,1.72,99.92,6.69,16.4,90.37,45.77,4.394449154672439,45.52
BlueSpringscity,2.44,100.0,3.32,4.68,94.97,42.38,2.302585092994046,21.8
Americuscity,52.91,0.0,19.29,31.51,91.96,50.55,1.6094379124341005,22.51
Bessemercity,58.37,99.12,12.96,29.7,91.3,63.59,3.6635616461296463,118.46
OakRidgecity,7.98,0.0,6.23,9.47,92.67,56.62,2.0794415416798357,24.43
Speedwaytown,5.46,100.0,2.8,6.25,94.29,45.78,1.0986122886681098,16.18
Lakewoodcity,0.85,100.0,4.56,8.5,94.66,50.98,1.9459101490553132,10.47
Jolietcity,21.6,100.0,8.35,12.97,92.2,54.97,4.442651256490317,105.68
Venicecity,1.27,100.0,3.68,5.79,72.94,49.33,0.0,0.0
Madisonvillecity,12.99,0.0,10.34,18.53,91.41,55.29,2.0794415416798357,36.83
Corningcity,2.06,0.0,8.93,13.69,94.54,55.27,1.791759469228055,21.08
Zanesvillecity,10.76,0.0,16.41,25.86,91.92,53.66,3.8918202981106265,176.41
PlantCitycity,21.26,0.0,8.51,17.84,89.79,42.36,0.0,0.0
WestLinncity,0.56,100.0,2.44,3.92,97.8,44.8,1.9459101490553132,31.75
Burnsvillecity,2.27,100.0,2.91,4.2,94.48,42.16,2.5649493574615367,21.58
Muhlenbergtownship,0.39,90.76,3.23,5.71,97.64,71.01,0.6931471805599453,7.78
RiverEdgeborough,0.61,100.0,1.97,2.38,98.03,71.54,0.0,0.0
MorenoValleycity,13.81,99.84,7.71,8.36,92.15,26.07,3.9318256327243257,35.71
