communityname,racepctblack,racePctHisp,pctUrban,PctNotSpeakEnglWell,PctPopUnderPov,medIncome,pctWPubAsst,PctUnemployed,PctHousOccup,PctSameHouse85,PctVacantBoarded,PctHousNoPhone,PctFam2Par,ViolentCrimesPerPop,murdPerPop,robbbPerPop,autoTheftPerPop,arsonsPerPop
Enfieldtown,2.65,2.28,96.51,0.92,2.89,1.5547961348102757,3.78,4.01,96.21,60.3,0.16,0.89,81.96,89.94,2.19,50.46,508.94,15.36
Glendalecity,1.3,20.96,100.0,15.46,14.37,0.3453924110299317,11.27,6.95,95.13,37.69,2.25,1.53,77.1,374.07,5.02,197.91,806.68,40.7
Worthingtoncity,2.28,0.74,100.0,0.53,2.35,2.169455573886401,1.59,2.57,97.14,59.75,0.61,0.18,82.5,112.5,0.0,66.18,119.12,26.47
Arlingtoncity,8.41,8.91,100.0,2.2,8.21,0.4250530285175583,2.71,4.99,89.26,36.76,1.81,5.5,78.19,772.77,2.39,242.88,838.8,33.18
Plymouthcity,1.61,1.02,100.0,0.56,3.36,2.3418571765260427,2.41,3.24,93.6,43.01,0.08,0.29,85.61,374.06,0.0,21.41,164.72,102.13
NewYorkcity,28.71,24.36,100.0,9.84,19.29,-0.1906669809097337,13.12,8.98,94.23,63.06,4.83,7.33,57.64,2097.71,26.59,1172.43,1536.49,60.7
Marinacity,18.97,10.73,100.0,4.31,9.67,-0.2825830780108413,6.9,3.5,95.73,26.33,0.57,1.62,80.12,644.75,12.89,270.79,322.37,32.24
Lebanoncity,0.41,0.91,0.0,1.23,6.07,0.0919160971011077,3.37,3.14,90.47,42.07,1.28,3.83,74.41,145.2,0.0,0.0,217.79,32.27
Rockledgecity,13.79,2.4,100.0,0.75,5.75,0.411619137402781,2.74,5.39,93.31,45.19,1.14,2.03,77.22,560.71,0.0,105.48,349.75,11.1
Rogerscity,0.06,1.86,0.0,0.75,8.72,-0.6178411501296253,3.92,3.31,94.31,39.82,0.34,8.04,78.73,204.23,0.0,32.42,155.61,19.45
Bellairecity,0.41,7.95,100.0,1.21,3.33,1.7029224605232147,0.73,2.69,94.85,57.14,1.25,0.87,78.29,347.97,6.69,160.6,301.12,6.69
ElCajoncity,2.92,13.97,100.0,3.17,12.92,-0.392764553382041,12.74,7.07,95.47,35.36,1.47,2.97,65.86,894.51,8.59,260.94,954.64,33.29
MosesLakecity,1.89,18.16,0.0,2.94,15.28,-0.9642941315107236,10.28,6.5,93.07,44.43,2.18,6.75,75.49,1143.9,14.57,21.86,400.73,58.29
WestMemphiscity,42.15,0.5,100.0,0.18,22.94,-1.1064105585670516,13.69,8.34,94.04,52.14,8.31,12.35,60.12,724.95,25.12,434.25,854.15,0.0
Eunicecity,26.96,0.78,0.0,2.4,38.27,-1.9522743341975015,18.81,13.93,90.68,62.57,7.32,14.35,67.27,1487.34,0.0,78.28,278.33,8.7
Laredocity,0.12,93.87,100.0,21.64,37.29,-1.5373556445910912,16.71,11.24,94.21,60.11,6.4,12.42,75.51,689.42,13.75,106.72,680.91,52.38
Amsterdamcity,1.46,11.61,0.0,2.49,13.5,-1.0929766674522745,7.08,8.97,92.49,61.42,2.1,6.72,65.74,49.93,0.0,14.98,84.88,21.08
Gorhamtown,0.37,0.45,33.1,0.24,4.05,0.61006363422107,4.56,5.73,96.69,51.97,0.0,1.17,80.48,21.66,0.0,0.0,66.89,0.0
RockSpringscity,1.17,7.46,0.0,0.61,8.87,0.3453924110299317,5.74,5.13,88.47,54.59,7.53,3.51,78.88,649.83,4.92,29.54,374.14,0.0
Oakdalecity,0.24,17.04,0.0,3.08,12.63,-0.496229083195852,13.22,10.34,95.98,39.82,1.08,3.3,70.31,346.97,0.0,50.6,368.66,93.97
Hendersoncity,52.88,0.54,0.0,0.68,24.07,-1.52510016497761,13.17,7.91,93.34,57.15,4.9,12.61,49.68,1770.94,36.77,447.33,625.04,61.28
Norcocity,7.95,19.55,100.0,2.25,5.34,2.374852698562338,5.92,5.1,96.66,45.88,3.63,2.5,82.9,609.81,4.04,117.11,1033.84,60.58
Greenvillecity,59.63,0.56,0.0,0.21,31.96,-1.5768324298845158,18.48,12.45,92.91,59.55,12.14,11.02,52.47,559.55,35.96,148.31,417.98,128.09
SanCarloscity,0.94,6.46,100.0,1.64,2.73,2.73591798255951,2.52,2.43,97.41,58.4,0.68,0.56,82.5,205.56,3.54,85.06,191.38,0.0
SanAngelocity,4.8,27.99,100.0,3.89,18.5,-0.931769974074947,6.25,7.71,88.57,45.39,1.64,7.89,74.97,512.19,8.85,43.14,192.49,21.08
Barbertoncity,5.26,0.33,100.0,0.45,16.93,-1.149304737214235,12.39,8.67,94.47,59.58,3.39,5.1,66.86,734.61,0.0,78.84,318.93,68.09
Pontiaccity,42.2,8.01,100.0,1.35,26.67,-1.1170162620787178,22.07,14.4,93.17,51.8,12.83,8.97,46.61,374.06,27.27,607.12,1254.43,86.12
Suffolkcity,44.58,0.61,74.94,0.31,17.28,-0.6264435540890879,10.49,7.06,92.53,59.38,9.83,10.47,67.53,919.33,16.22,288.42,457.86,46.87
Martinsvillecity,36.84,0.37,0.0,0.51,15.61,-1.059981145415979,8.64,5.68,93.56,61.23,5.52,6.58,59.28,682.23,12.52,137.7,337.99,56.33
Bricktownship,0.63,2.58,100.0,0.85,3.74,0.860358237096394,3.6,5.55,86.55,61.13,0.72,0.67,84.22,131.47,2.92,40.9,143.15,20.45
LagunaBeachcity,0.7,6.86,100.0,2.03,6.14,2.589912797548904,2.75,1.84,86.31,44.53,0.57,0.39,76.69,794.41,0.0,91.5,578.13,12.48
Robstowncity,1.85,91.07,0.0,14.64,37.04,-1.7983737921282112,24.32,12.26,86.6,69.4,25.81,17.21,72.16,420.91,7.38,22.15,413.53,59.08
Wyomingcity,2.72,3.5,100.0,0.95,7.07,-0.0398303087438133,4.69,5.13,96.46,53.39,0.79,1.71,76.5,374.06,1.55,180.07,409.8,20.18
Hastingscity,0.31,0.49,0.0,0.61,5.0,0.5479613481027574,3.41,5.18,97.4,51.79,0.69,1.44,79.12,374.06,0.0,12.1,242.06,6.05
Paragouldcity,0.09,0.51,0.0,0.28,18.82,-1.349988215884987,8.77,7.01,94.03,52.41,4.66,10.95,76.53,92.91,4.65,9.29,162.59,4.65
BeverlyHillscity,1.7,5.4,100.0,4.86,6.6,2.699387226019326,3.47,3.8,92.63,52.74,1.38,0.4,75.73,1087.25,3.0,843.97,663.76,42.05
UniversityHeightscity,16.34,1.0,100.0,0.8,2.9,1.4064341267970777,2.47,4.65,97.45,53.8,0.0,0.21,83.94,237.45,0.0,97.77,216.5,0.0
Marioncity,4.22,0.85,0.0,0.24,16.85,-1.0608060334668867,12.41,10.98,92.53,53.95,3.38,12.2,70.49,212.87,2.88,106.44,296.29,8.63
Toledocity,19.7,3.97,100.0,0.8,19.09,-0.7803440961583785,12.29,9.92,92.09,56.77,13.37,5.49,62.64,984.96,13.89,492.02,1394.26,110.19
Philadelphiacity,39.86,5.63,100.0,2.63,20.27,-0.8057977845863775,13.98,9.62,89.36,64.33,21.96,4.25,53.45,1279.6,28.7,753.74,1554.73,149.17
Newtoncity,2.08,1.98,100.0,1.63,4.33,3.332312043365543,2.91,3.94,96.58,60.43,0.29,0.37,84.76,256.34,1.17,31.46,288.96,0.0
OrmondBeachcity,3.52,1.7,100.0,0.7,6.72,0.1488333726137167,4.52,4.21,89.52,46.85,0.81,1.73,76.18,142.7,0.0,74.45,241.97,0.0
Lynchburgcity,26.41,0.72,100.0,0.35,16.45,-0.9091444732500588,7.54,5.97,92.33,52.6,4.31,7.07,64.0,753.42,4.47,159.32,273.97,74.45
Clintoncity,17.14,0.48,100.0,0.35,9.48,0.627975489040773,3.8,3.37,94.61,46.9,0.94,2.6,76.53,122.69,8.76,61.34,52.58,21.91
Andersoncity,34.26,0.53,100.0,0.44,19.89,-1.4150365307565402,8.88,7.46,91.36,50.04,2.41,11.53,56.04,1849.3,26.85,449.74,459.81,10.07
Mesquitecity,5.83,8.77,100.0,1.19,7.73,0.5294602875324064,4.08,4.74,91.35,43.88,5.24,3.79,77.5,566.64,4.32,118.34,657.34,80.33
ParkForestvillage,24.63,3.12,100.0,0.67,4.89,0.6544897478199387,4.16,4.94,96.58,57.89,0.31,1.03,71.03,374.06,7.89,98.58,445.57,15.77
ChippewaFallscity,0.11,0.34,100.0,0.47,11.12,-0.9880980438369078,8.75,6.85,95.58,54.71,2.54,2.55,72.22,51.91,0.0,7.42,111.24,29.66
Beavercreekcity,0.92,1.02,100.0,0.49,3.51,2.0860240395946263,1.98,3.13,96.25,57.26,0.22,0.35,89.64,94.97,0.0,52.76,184.67,68.59
Keenecity,0.28,0.59,0.0,0.52,8.06,-0.0242752769267028,4.67,6.42,94.91,47.1,0.44,4.6,74.41,422.05,0.0,17.77,106.62,62.2
Springfieldtownship,2.55,0.36,73.6,0.48,8.79,0.1498939429648833,5.23,5.41,97.29,63.34,2.27,2.3,82.16,452.4,0.0,96.04,90.98,32.86
Swissvaleborough,9.69,0.75,100.0,0.35,12.53,-0.9036059391939664,8.65,6.62,93.22,64.43,5.87,1.91,63.45,407.12,18.94,170.42,1145.62,85.21
Knoxvillecity,15.78,0.67,100.0,0.48,20.8,-1.3572943671930238,9.69,7.11,91.52,47.86,7.04,6.38,62.09,1693.42,8.14,346.59,935.68,100.6
Kernersvilletown,5.59,1.49,0.0,0.81,8.46,-0.6825359415507896,2.24,5.99,93.81,34.76,1.27,6.37,66.54,462.24,7.46,126.74,313.13,7.46
Bloomingtoncity,1.61,0.93,100.0,0.71,3.7,1.213174640584492,2.63,3.28,96.29,54.64,0.15,0.63,80.21,374.06,4.65,75.59,484.96,21.08
ScotchPlainstownship,11.1,2.83,100.0,1.53,1.49,3.1526042894178645,2.35,3.75,97.46,70.79,2.53,0.41,86.47,115.14,4.61,55.27,409.91,9.21
Newingtontown,1.41,2.1,100.0,2.51,1.79,1.6544897478199387,2.87,3.44,96.67,64.52,0.26,0.25,82.24,78.65,0.0,10.26,376.17,3.42
Moberlycity,7.24,0.86,0.0,0.44,18.27,-1.281168984209286,6.53,8.52,89.41,50.83,0.65,10.58,71.13,985.03,7.88,39.4,165.48,7.88
Sandycity,0.19,2.54,100.0,0.55,4.21,1.4765496111242045,2.59,3.56,96.58,51.8,1.31,0.86,89.17,131.68,0.0,32.06,125.96,5.73
Wheatoncity,2.53,2.04,100.0,1.15,5.12,2.447207164741928,1.94,2.42,95.38,46.01,0.23,0.43,87.46,374.06,0.0,16.62,44.33,5.54
WhiteLaketownship,0.69,1.3,82.94,0.23,4.36,1.3089794956398777,5.63,6.2,94.06,57.66,0.61,1.57,82.93,374.06,0.0,12.92,202.34,38.75
Chickashacity,9.78,2.48,0.0,0.29,23.15,-1.541833608296017,10.04,9.5,85.28,50.54,6.94,13.73,68.5,1134.5,26.23,98.37,347.56,45.9
Tucsoncity,4.28,29.25,99.98,4.14,20.16,-1.1422342682064577,6.58,8.12,88.74,41.54,2.07,6.88,65.86,969.6,9.78,198.68,1142.94,36.0
Gallowaytownship,7.36,3.69,64.02,1.0,4.35,1.2376855998114542,3.11,4.1,89.49,40.26,0.86,1.68,79.01,251.24,4.19,41.87,192.61,29.31
Sweetwatercity,5.57,28.98,0.0,1.76,23.02,-1.4475606881923166,8.36,8.51,86.35,53.48,4.85,13.7,75.23,934.12,8.19,73.75,245.82,40.97
Portsmouthcity,4.6,2.0,100.0,0.8,6.68,-0.1001649776101814,4.68,5.12,90.85,39.91,2.5,2.85,75.93,377.97,0.0,66.98,334.91,43.06
Hulltown,0.89,1.08,100.0,1.02,8.02,0.7355644591091209,7.14,7.31,72.07,59.52,13.56,1.11,70.43,889.65,0.0,0.0,161.75,26.96
Scotttownship,0.59,0.55,100.0,0.48,4.13,0.3774452038651897,2.46,3.05,95.86,61.22,0.31,0.62,83.2,40.21,5.74,11.49,269.96,17.23
Pittsfieldtownship,16.58,2.1,70.5,0.93,9.33,0.3768559981145416,3.63,3.78,90.07,29.96,0.13,2.34,74.43,374.06,0.0,236.86,567.37,38.56
Duncanvillecity,12.06,6.65,100.0,0.56,3.78,1.1297431062927177,2.52,4.57,93.64,52.65,0.59,1.87,78.22,465.96,0.0,150.83,705.67,43.09
Mexicocity,9.4,0.42,0.0,0.13,14.35,-0.9070233325477256,8.81,4.48,91.41,56.53,1.86,7.3,71.5,150.04,8.83,26.48,88.26,0.0
NewProvidenceborough,0.54,2.7,100.0,1.23,2.45,3.6506009898656617,2.04,2.71,98.06,65.66,1.19,0.52,90.92,49.56,0.0,24.78,148.69,16.52
Barnstabletown,2.7,1.71,83.39,1.06,6.78,0.2321470657553617,5.68,7.22,71.04,52.01,0.96,1.71,71.82,1812.62,4.67,67.74,298.99,0.0
Rutherfordborough,3.01,5.78,100.0,3.21,3.68,1.7744520386518972,2.85,4.17,92.58,68.6,2.99,1.09,84.36,129.13,0.0,28.07,421.06,11.23
Portlandcity,7.67,3.17,100.0,2.17,14.53,-0.6892528871081782,6.9,6.16,94.4,46.0,5.5,4.47,66.43,1841.38,12.65,502.59,1844.43,131.7
Manassascity,10.33,5.73,100.0,2.59,3.79,1.7950742399245816,3.24,3.3,92.66,29.6,1.46,4.11,81.33,301.31,0.0,170.84,267.14,18.64
Torrancecity,1.45,10.07,100.0,5.83,5.15,1.8575300494932832,4.3,3.95,95.79,49.81,1.56,1.2,79.26,620.53,8.64,309.54,1226.66,38.87
SouthJordancity,0.06,2.06,100.0,0.84,3.21,1.4568701390525571,3.16,3.21,98.06,51.42,7.14,0.6,93.07,190.84,0.0,17.35,266.02,0.0
RedwoodCitycity,3.64,24.12,100.0,7.86,8.3,1.3576478906434126,5.3,3.82,94.96,46.52,0.59,1.85,72.39,726.59,4.4,155.59,664.94,2.94
Lancastertownship,3.03,3.4,97.79,0.76,6.27,0.5201508366721659,4.14,3.31,96.4,49.01,0.5,0.41,77.84,74.56,0.0,52.19,283.33,22.37
Algonquinvillage,0.17,1.73,100.0,0.26,1.65,2.618901720480792,0.18,2.29,97.48,43.22,2.0,0.93,92.11,374.06,0.0,15.21,38.02,45.63
Sebastiancity,1.06,1.79,0.0,0.44,6.77,-0.5641055856705162,3.65,5.66,89.87,32.16,0.21,3.16,80.47,339.96,0.0,8.5,101.99,0.0
GrandForkscity,0.8,1.19,100.0,0.3,14.48,-0.7052792835258073,4.64,5.08,94.6,41.07,0.85,2.77,75.26,121.02,0.0,27.78,386.88,27.78
NewHaventown,36.14,13.22,100.0,3.93,21.29,-0.6634456752297903,14.61,9.25,90.62,45.53,10.18,7.53,45.44,2127.02,18.39,1035.08,1566.0,112.04
Westwegocity,15.59,2.79,100.0,1.1,23.81,-1.5727079896299787,11.22,8.37,89.89,54.89,10.97,7.66,62.04,809.39,0.0,309.2,1309.57,18.19
Doltonvillage,38.14,4.53,100.0,0.83,4.93,0.6225547961348102,4.66,6.76,97.01,58.15,2.33,1.16,70.37,374.06,0.0,313.81,1275.35,4.02
Munstertown,0.44,2.65,100.0,1.26,1.27,2.0082488805090737,1.14,2.81,97.74,65.83,0.0,0.1,90.61,199.2,14.58,29.15,281.8,4.86
Newberrytown,41.48,0.69,0.0,0.23,25.22,-1.4586377563045014,12.4,9.13,93.05,54.36,3.73,16.32,52.0,1527.29,0.0,141.42,150.84,9.43
NorthTonawandacity,0.16,0.79,100.0,0.57,6.07,-0.2197737449917511,5.96,5.64,97.39,66.61,5.46,1.77,79.23,85.17,3.04,27.38,130.8,9.13
Redlandscity,3.83,18.96,100.0,3.07,8.98,0.6636813575300495,7.29,4.78,94.81,40.05,1.16,2.5,75.19,727.83,7.71,231.3,949.88,24.67
Avondalecity,4.62,51.15,0.0,8.21,28.22,-0.842446382276691,16.57,11.09,88.13,42.75,4.53,14.52,67.21,781.32,4.68,107.61,664.36,74.86
Lafayettecity,0.98,14.87,0.0,1.99,8.43,0.3230025925053028,3.85,3.93,93.37,41.11,0.52,2.58,75.31,367.13,0.0,33.89,158.15,39.54
Oshkoshcity,0.79,0.83,100.0,0.57,12.63,-0.7392175347631393,6.39,4.82,96.01,47.64,0.57,2.57,75.13,155.25,8.82,12.35,197.59,17.64
Tukwilacity,6.36,3.67,100.0,1.58,9.33,-0.1531934951685128,6.21,4.77,94.42,39.89,0.3,2.68,64.7,1634.34,23.46,547.39,2252.11,109.48
Dublincity,11.49,10.46,100.0,1.48,4.23,2.624204572236625,4.19,3.52,97.28,37.34,0.0,0.6,82.44,251.23,0.0,60.9,232.2,7.61
Breacity,1.08,15.45,100.0,3.36,3.55,2.3346688663681356,3.54,3.31,96.65,48.98,3.3,1.28,82.69,367.33,8.61,146.36,637.09,45.92
NorthAugustacity,15.59,0.67,100.0,0.15,9.28,0.1692198915861418,3.89,3.62,92.13,51.15,2.61,2.98,72.42,560.56,0.0,101.92,419.0,5.66
Tallahasseecity,29.09,3.0,100.0,0.85,22.32,-0.9413151072354466,4.59,5.56,91.35,34.91,2.24,3.43,61.16,1981.45,6.63,581.91,1521.08,22.1
Princetonborough,8.51,5.13,0.0,2.43,9.64,1.372967240160264,2.6,3.21,92.91,30.25,4.82,0.46,78.23,83.89,0.0,33.55,134.22,8.39
Menomoniecity,1.2,0.82,0.0,0.85,28.82,-1.1841857176526045,6.35,7.56,95.24,31.89,0.46,1.36,75.39,39.87,0.0,13.29,232.57,19.93
Sturgiscity,0.75,1.33,0.0,0.25,11.86,-0.9190431298609476,7.37,5.25,95.35,54.96,1.04,13.48,67.94,374.06,0.0,19.08,152.67,19.08
Alpharettacity,2.55,1.85,98.55,1.21,3.73,1.5194437897713882,1.94,2.63,89.43,30.38,0.48,0.19,80.28,60.9,0.0,0.0,206.12,0.0
Jeffersontownship,0.76,2.23,44.04,0.85,2.43,2.0560923874617014,2.86,2.94,88.97,63.58,2.55,1.17,86.32,70.4,0.0,5.42,86.65,10.83
StevensPointcity,0.51,0.85,0.0,1.24,21.61,-1.0896771152486449,7.35,5.96,95.57,40.95,0.79,2.55,73.08,242.54,4.66,0.0,144.59,46.64
Woodlandcity,1.26,26.16,0.0,5.43,9.59,0.0271034645298138,10.34,7.85,95.82,43.89,1.94,4.04,72.38,574.24,4.65,74.4,692.81,109.27
NorthBrunswicktownship,11.07,5.81,100.0,3.33,2.67,2.175229790242753,3.06,3.08,94.82,48.19,1.11,0.62,81.65,288.37,0.0,128.85,536.86,24.54
Springfieldcity,17.38,0.65,100.0,0.28,20.87,-1.18241810040066,14.47,8.74,92.17,50.9,8.42,8.94,62.98,1497.92,8.49,294.21,646.41,8.49
Richfieldcity,2.61,1.07,100.0,0.73,5.55,0.1135988687249587,4.4,3.61,96.63,58.81,0.18,0.85,73.49,374.06,0.0,112.22,480.52,14.39
Corsicanacity,25.51,9.09,0.0,1.78,21.04,-1.2023332547725665,8.44,8.15,89.05,51.89,2.94,12.35,67.01,681.32,0.0,162.83,252.82,89.99
Wabashcity,0.54,1.15,0.0,0.55,11.79,-0.7423992458166392,6.23,6.72,95.06,56.5,0.82,11.0,75.76,194.19,0.0,8.09,194.19,8.09
Woostercity,3.49,0.63,0.0,0.19,12.69,-0.5058920575064813,7.74,5.93,95.39,45.18,2.4,4.35,73.14,185.48,0.0,30.91,128.07,30.91
LosAngelescity,13.99,39.92,100.0,17.45,18.86,-0.0608060334668866,10.68,8.34,93.65,46.34,2.93,4.11,65.54,2414.77,31.04,1108.27,1724.19,147.68
Harrisontown,0.57,29.4,100.0,16.23,11.55,0.2979024275276927,3.81,7.53,94.88,55.94,4.96,5.41,78.15,581.57,0.0,249.24,1827.79,7.55
Swanseatown,0.34,0.59,65.76,1.46,4.92,1.0223898185246287,7.85,4.6,96.0,74.48,8.68,0.44,87.21,197.0,0.0,98.5,350.9,178.53
Superiorcity,0.53,0.52,100.0,0.52,17.1,-1.241574357765732,12.76,9.73,94.15,58.23,9.08,3.59,64.68,273.7,3.6,54.02,360.13,104.44
Monroecity,4.62,1.81,0.0,0.85,15.39,-0.2772802262550082,13.49,7.38,95.36,58.47,3.41,4.08,69.43,374.06,0.0,93.43,237.82,55.21
Madisontownship,2.27,0.64,69.9,0.17,4.1,0.4871553146358708,2.79,4.98,97.03,59.5,1.52,2.34,81.33,240.92,0.0,9.45,99.2,42.51
Seasidecity,23.47,17.45,100.0,5.54,12.22,-0.328305444261136,7.86,4.37,94.69,29.96,2.18,2.85,76.63,1085.11,18.55,374.07,262.78,64.92
Grapevinecity,1.79,5.67,99.89,1.01,4.24,2.0575064812632573,2.04,3.09,92.12,28.21,1.49,3.3,83.43,291.69,0.0,40.14,184.65,37.46
Columbiacity,9.93,1.31,100.0,1.57,22.42,-1.1055856705161442,4.87,4.91,93.79,27.44,2.92,3.85,70.25,587.55,1.34,144.55,222.17,40.15
Lebanoncity,0.16,2.11,0.0,0.26,18.76,-1.2644355408908792,10.26,10.38,95.13,45.97,1.35,6.39,69.32,650.49,0.0,16.68,316.9,0.0
WestChesterborough,17.71,7.57,100.0,1.28,17.07,-0.0210935658732029,6.29,5.7,94.63,37.64,5.76,2.68,57.91,465.66,0.0,153.46,291.04,31.75
Eatontownborough,12.49,4.64,100.0,2.19,5.14,0.6390525571529578,2.13,4.16,89.32,42.34,0.77,0.51,81.05,221.64,0.0,99.36,313.36,0.0
Parkersburgcity,1.7,0.29,100.0,0.44,18.99,-1.293895828423285,9.42,8.01,88.51,56.47,3.41,9.3,67.27,216.8,9.03,54.2,198.74,111.41
Spokanecity,1.93,2.08,100.0,0.85,17.34,-1.089912797548904,10.99,8.12,94.08,46.37,5.54,4.96,63.8,795.08,6.63,180.65,372.53,37.76
Durangocity,0.31,11.62,0.0,1.31,18.78,-0.9951685128446852,4.26,6.45,93.47,38.66,0.93,5.61,70.24,361.75,7.09,63.84,248.26,0.0
Aberdeencity,0.29,2.55,0.0,0.56,18.3,-1.1405844921046429,11.64,10.96,91.84,50.82,5.02,7.9,66.09,525.42,5.84,116.76,245.2,157.63
Sumtercity,38.25,1.58,100.0,0.48,20.71,-1.2043365543247702,12.39,5.4,93.31,42.04,2.74,9.27,68.18,1462.29,11.66,417.46,396.47,4.66
Burrillvilletown,0.1,0.44,1.86,0.74,5.55,0.6734621729908083,3.99,6.21,92.38,58.0,1.6,0.66,85.45,89.61,0.0,0.0,53.77,5.97
AnnArborcity,9.04,2.58,100.0,1.41,16.08,0.2242517086966768,3.2,3.81,94.65,32.91,1.1,1.05,75.87,374.06,1.83,117.89,237.61,31.99
Derrytown,0.93,1.37,0.0,0.57,3.79,1.4115012962526514,3.1,5.47,90.72,43.71,4.17,2.19,83.82,227.32,0.0,23.4,340.98,103.63
Daniacity,31.3,6.09,100.0,2.64,20.64,-0.9629978788592976,6.41,8.89,75.26,49.25,4.41,8.39,49.89,2649.8,28.26,989.26,2070.38,49.46
Salemcity,0.47,0.48,0.0,0.17,13.85,-0.9140938015555032,7.59,5.19,94.51,55.22,3.09,6.51,75.67,46.52,0.0,0.0,77.54,7.75
Greendalevillage,0.15,1.18,100.0,0.61,2.32,1.5665802498232382,2.13,2.38,97.04,65.23,0.0,0.0,83.29,74.62,6.78,33.92,244.2,0.0
UnionCitycity,5.11,75.62,100.0,30.91,18.18,-0.6818288946500117,13.18,10.87,91.24,54.33,2.37,11.73,59.81,871.02,1.77,507.07,950.53,12.37
FosterCitycity,3.23,5.77,100.0,3.38,2.95,3.419868017911855,2.07,3.4,95.43,42.19,0.19,0.0,82.87,185.69,3.38,57.39,216.07,20.26
Flintcity,47.94,2.85,100.0,0.64,30.58,-1.3274805562102283,23.81,18.29,91.78,55.55,20.85,10.3,42.57,374.06,34.55,747.84,1660.5,178.53
NewBrunswickcity,29.58,19.33,100.0,7.03,21.96,-0.3714353052085788,10.16,8.85,93.77,38.48,7.46,8.98,50.14,1501.93,12.05,749.76,812.44,45.81
Houmacity,24.96,1.41,100.0,1.04,26.41,-1.4192788121612068,12.93,8.38,92.87,58.39,6.72,8.66,67.57,1450.47,15.87,247.56,311.04,12.7
EastPaloAltocity,42.94,36.36,100.0,14.8,17.55,-0.2633749705397125,16.44,10.6,94.59,49.67,10.3,4.77,56.09,2344.56,15.4,746.87,1131.86,142.44
Brentwoodcity,1.59,0.5,100.0,0.44,1.39,4.577657317935423,1.63,3.1,95.68,47.37,0.42,0.0,92.24,64.88,4.63,9.27,101.96,0.0
LeagueCitycity,5.13,11.74,99.49,2.02,4.92,1.6028753240631628,1.82,3.09,93.01,40.8,2.14,3.13,84.23,129.64,0.0,37.04,243.4,0.0
NewIberiacity,33.32,2.28,0.0,1.77,28.67,-1.5242752769267027,14.23,13.03,89.67,60.27,5.14,10.32,64.43,345.46,5.91,144.68,253.93,21.08
