Variable,Type,Community,Value,Z-Score,Classification
PctHousOccup,percentage,Dennistown,42.71,9.9658691870021,Potential data error
larcPerPop,ratio,AtlanticCitycity,22164.78,9.892560962914887,Potential data error
PctPersDenseHous,percentage,BellGardenscity,59.49,9.889045094664421,Potential data error
murders,count,Detroitcity,579.0,9.822913787142266,Potential data error
PctPersDenseHous,percentage,Maywoodcity,59.01,9.803298153011573,Potential data error
rapes,count,Dallascity,1000.0,9.67186583738376,Potential data error
racePctAsian,percentage,Cerritoscity,45.19,9.506233012160223,Potential data error
arsons,count,Chicagocity,1676.0,9.330907273412237,Potential data error
murdPerPop,ratio,Garycity,91.09,9.309986311702566,Potential data error
racePctAsian,percentage,DalyCitycity,43.84,9.204410907628786,Potential data error
racePctAsian,percentage,Herculescity,43.31,9.085917785109034,Potential data error
PctVacantBoarded,percentage,Chestercity,35.34,9.066045927856711,Potential data error
NumInShelters,count,Chicagocity,5180.0,9.063664221584284,Potential data error
PctPersDenseHous,percentage,HuntingtonParkcity,54.84,9.058371597402461,Potential data error
arsonsPerPop,ratio,Banningcity,377.61,8.989343894231862,Potential data error
PctPersDenseHous,percentage,Cudahycity,54.34,8.969051866514079,Potential data error
robbbPerPop,ratio,Newarkcity,2264.13,8.966139943772268,Potential data error
autoTheftPerPop,ratio,Commercecity,4968.59,8.913951458928297,Potential data error
rapesPerPop,ratio,Tukwilacity,320.61,8.723110296144561,Potential data error
arsonsPerPop,ratio,Camdencity,367.36,8.722972762452196,Potential data error
PctUnemployed,percentage,HighlandParkcity,31.23,8.6995050293301,Potential data error
arsons,count,Houstoncity,1549.0,8.611033367643843,Potential data error
PctWOFullPlumb,percentage,Uvaldecity,4.08,8.577318334921358,Potential data error
PctNotSpeakEnglWell,percentage,Maywoodcity,38.33,8.53424750997669,Potential data error
PctWOFullPlumb,percentage,Suffolkcity,4.04,8.483441898644886,Potential data error
autoTheft,count,Detroitcity,28061.0,8.461656716212552,Potential data error
burglaries,count,Houstoncity,27022.0,8.447044627303216,Potential data error
larcPerPop,ratio,Tukwilacity,19401.0,8.437656024963578,Potential data error
assaultPerPop,ratio,Kalamazoocity,4058.51,8.424153748582835,Potential data error
murdPerPop,ratio,Washingtoncity,81.95,8.31159875173957,Potential data error
autoTheft,count,Houstoncity,27519.0,8.295157037485355,Potential data error
nonViolPerPop,ratio,EastLongmeadowtown,27119.76,8.29503491959884,Potential data error
nonViolPerPop,ratio,AtlanticCitycity,27010.77,8.254370607523999,Potential data error
PctVacantBoarded,percentage,Garycity,32.22,8.197348727641689,Potential data error
NumInShelters,count,Washingtoncity,4682.0,8.180882345582841,Potential data error
PctNotSpeakEnglWell,percentage,Bellcity,36.78,8.166025508808097,Potential data error
murdPerPop,ratio,NewOrleanscity,80.35,8.136826312358739,Potential data error
pctWPubAsst,percentage,BentonHarborcity,44.82,8.0903045220696,Potential data error
PctNotSpeakEnglWell,percentage,HuntingtonParkcity,36.42,8.080502979504423,Potential data error
NumInShelters,count,LosAngelescity,4597.0,8.030206724176974,Potential data error
rapes,count,Clevelandcity,834.0,8.02335958766009,Potential data error
racePctAsian,percentage,Alhambracity,38.14,7.930050910718261,Potential data error
PctUnemployed,percentage,BentonHarborcity,28.94,7.908476338511286,Potential data error
PctRecentImmig,percentage,Glendalecity,13.71,7.9044931621283,Potential data error
larcenies,count,Houstoncity,61569.0,7.826467629738996,Potential data error
larcenies,count,SanAntoniocity,61284.0,7.788937406879794,Potential data error
racePctAsian,percentage,Walnutcity,37.48,7.782493437391779,Potential data error
robbbPerPop,ratio,Camdencity,1985.69,7.778195981447868,Potential data error
PctLargHouseFam,percentage,BellGardenscity,34.87,7.772175629057125,Potential data error
PctHousOccup,percentage,Harwichtown,54.11,7.703783928813364,Potential data error
murders,count,Washingtoncity,454.0,7.67342406322608,Potential data error
PctPersDenseHous,percentage,Lynwoodcity,46.84,7.6292559031883345,Potential data error
PctVacantBoarded,percentage,GloucesterCitycity,30.03,7.587590115952299,Potential data error
PctNotSpeakEnglWell,percentage,Miamicity,34.27,7.569743429496375,Potential data error
PctHousOccup,percentage,Brigantinecity,54.83,7.560915386190917,Potential data error
rapes,count,Philadelphiacity,785.0,7.536752321175393,Potential data error
murders,count,Houstoncity,446.0,7.535856720895444,Potential data error
PctPersDenseHous,percentage,Bellcity,45.97,7.473839571442547,Potential data error
arsonsPerPop,ratio,Rosenbergcity,319.18,7.470898505950314,Potential data error
PctRecentImmig,percentage,SantaAnacity,12.97,7.440661386193575,Potential data error
PctVacantBoarded,percentage,Harveycity,29.5,7.44002296335167,Potential data error
autoTheftPerPop,ratio,Newarkcity,4224.31,7.437936518952448,Potential data error
murders,count,Philadelphiacity,439.0,7.415485296356137,Potential data error
PctWOFullPlumb,percentage,Harrisontown,3.57,7.380393772396324,Potential data error
ViolentCrimesPerPop,ratio,Chestercity,4877.06,7.345055620491414,Potential data error
arsons,count,Dallascity,1324.0,7.335666211754957,Potential data error
robbbPerPop,ratio,Miamicity,1869.98,7.284527701457362,Potential data error
burglPerPop,ratio,Rollacity,6581.68,7.274818841186545,Potential data error
PctLargHouseFam,percentage,Cudahycity,32.87,7.24495146165727,Potential data error
burglaries,count,Detroitcity,23092.0,7.18295595929314,Potential data error
nonViolPerPop,ratio,Tukwilacity,24116.36,7.17446243693455,Potential data error
racePctAsian,percentage,Milpitascity,34.67,7.15425631610782,Potential data error
PctPersDenseHous,percentage,SouthElMontecity,44.16,7.150502145626601,Potential data error
autoTheft,count,Philadelphiacity,23785.0,7.148090985147066,Potential data error
PctLargHouseFam,percentage,Lynwoodcity,32.47,7.139506628177299,Potential data error
assaultPerPop,ratio,Alexandriacity,3486.14,7.114396546678701,Potential data error
RentQrange,count,Trumbulltown,803.0,7.1104472017972675,Potential data error
murdPerPop,ratio,Chestercity,70.83,7.096930298042797,Potential data error
PctLargHouseFam,percentage,SantaAnacity,32.29,7.092056453111312,Potential data error
racePctAsian,percentage,Rosemeadcity,34.33,7.078241860151754,Potential data error
OwnOccQrange,count,Naplescity,331000.0,7.01774680517901,Potential data error
arsonsPerPop,ratio,Youngstowncity,301.59,7.013779656388916,Potential data error
NumInShelters,count,SanFranciscocity,4003.0,6.977250028705375,Potential data error
PctUsePubTrans,percentage,Washingtoncity,37.3,6.974799863223405,Potential data error
PctUsePubTrans,percentage,JerseyCitycity,37.29,6.972763952910856,Potential data error
PctNotSpeakEnglWell,percentage,SantaAnacity,31.63,6.942578214602769,Potential data error
rapes,count,Memphiscity,725.0,6.940906688745151,Potential data error
PctLargHouseFam,percentage,SouthElMontecity,31.65,6.923344719543358,Potential data error
PctHousOccup,percentage,PalmDesertcity,58.06,6.919991229704108,Potential data error
PctUsePubTrans,percentage,Weehawkentownship,37.01,6.915758464159478,Potential data error
PctLargHouseFam,percentage,SouthJordancity,31.58,6.904891873684363,Potential data error
racePctAsian,percentage,UnionCitycity,33.44,6.879262843090285,Potential data error
PctPersDenseHous,percentage,ElMontecity,42.63,6.877183769108151,Potential data error
PctNotSpeakEnglWell,percentage,WestNewYorktown,31.34,6.873685065997032,Potential data error
PctNotSpeakEnglWell,percentage,Cudahycity,31.26,6.854680059485105,Potential data error
larcenies,count,Dallascity,54183.0,6.853842275219455,Potential data error
RentQrange,count,Sudburytown,780.0,6.840451217211381,Potential data error
racePctAsian,percentage,Gardenacity,33.23,6.83231273794095,Potential data error
autoTheftPerPop,ratio,Irvingtontownship,3912.1,6.818778911049696,Potential data error
PctPersDenseHous,percentage,SouthGatecity,42.18,6.796796011308605,Potential data error
PctNotSpeakEnglWell,percentage,UnionCitycity,30.91,6.771533155995423,Potential data error
robbbPerPop,ratio,AtlanticCitycity,1749.56,6.7707645498157,Potential data error
arsons,count,Detroitcity,1219.0,6.740494872340144,Potential data error
robbbPerPop,ratio,Baltimorecity,1737.69,6.7201220601131055,Potential data error
assaultPerPop,ratio,Chestercity,3311.24,6.714171981077721,Potential data error
rapes,count,Jacksonvillecity,699.0,6.682706914692046,Potential data error
medIncome,monetary,Hillsboroughtown,123625.0,6.678784555885501,Potential data error
murders,count,NewOrleanscity,395.0,6.6588649135376405,Potential data error
racePctAsian,percentage,SanGabrielcity,32.45,6.657926633100564,Potential data error
PctNotSpeakEnglWell,percentage,BellGardenscity,30.37,6.643249362039913,Potential data error
racePctAsian,percentage,SanMarinocity,32.33,6.631098001586658,Potential data error
arsonsPerPop,ratio,Laconiacity,284.83,6.5782303716448,Potential data error
PctRecentImmig,percentage,FortLeeborough,11.56,6.556873813128762,Potential data error
PctLargHouseFam,percentage,Maywoodcity,30.21,6.543743319015463,Potential data error
PctNotSpeakEnglWell,percentage,EaglePasscity,29.78,6.503087439014449,Potential data error
burglaries,count,Dallascity,20975.0,6.502020664082623,Potential data error
PctWOFullPlumb,percentage,Covingtoncity,3.19,6.488567627769828,Potential data error
PctUsePubTrans,percentage,SanFranciscocity,34.88,6.482109567586502,Potential data error
PctHousOccup,percentage,Yarmouthtown,60.29,6.4774956046373635,Potential data error
PctHousOccup,percentage,ApacheJunctioncity,60.38,6.459637036809557,Potential data error
PctVacantBoarded,percentage,Robstowncity,25.81,6.412621466943519,Potential data error
assaults,count,Detroitcity,12999.0,6.395344897957189,Potential data error
PctWOFullPlumb,percentage,Brownsvillecity,3.15,6.394691191493354,Potential data error
PctWOFullPlumb,percentage,Robstowncity,3.15,6.394691191493354,Potential data error
arsonsPerPop,ratio,AtlanticCitycity,277.54,6.388782025237605,Potential data error
burglaries,count,Phoenixcity,20617.0,6.386869584401298,Potential data error
PctNotSpeakEnglWell,percentage,ElMontecity,29.27,6.381930522500911,Potential data error
PctVacantBoarded,percentage,Trentoncity,25.69,6.379210036166019,Potential data error
rapes,count,Baltimorecity,668.0,6.374853337936421,Potential data error
assaultPerPop,ratio,Jacksoncity,3155.81,6.358500716175718,Potential data error
racePctAsian,percentage,LaPalmacity,31.11,6.358340247861949,Potential data error
murdPerPop,ratio,Comptoncity,63.94,6.344316480959095,Potential data error
PctNotSpeakEnglWell,percentage,SanFernandocity,29.07,6.334418006221092,Potential data error
PctHousOccup,percentage,PalmSpringscity,61.02,6.332642776700716,Potential data error
PctHousOccup,percentage,LaQuintacity,61.17,6.302878496987707,Potential data error
medIncome,monetary,Winnetkavillage,118456.0,6.293660500170945,Potential data error
rapesPerPop,ratio,Kelsocity,241.06,6.290241413364361,Potential data error
rapes,count,Columbuscity,658.0,6.275545732531381,Potential data error
PersPerFam,ratio,BellGardenscity,4.64,6.274934764594571,Potential data error
PctPersDenseHous,percentage,SanFernandocity,38.97,6.2233633390051875,Potential data error
PctHousOccup,percentage,Staffordtownship,61.64,6.209617087220276,Potential data error
PctRecentImmig,percentage,PalisadesParkborough,10.99,6.199597985719582,Potential data error
arsonsPerPop,ratio,Pomonacity,269.03,6.1676290172917545,Potential data error
autoTheftPerPop,ratio,HuntingtonParkcity,3571.94,6.144192408682059,Potential data error
PctUnemployed,percentage,Delanocity,23.83,6.143342447644848,Potential data error
racepctblack,percentage,Tuskegeecity,96.67,6.131372301605022,Potential data error
larcenies,count,Phoenixcity,48382.0,6.089937633794076,Potential data error
PctPersDenseHous,percentage,SantaAnacity,38.13,6.073306191112705,Potential data error
rapesPerPop,ratio,Palatkacity,233.58,6.0614813977365065,Potential data error
PersPerRentOccHous,ratio,SouthElMontecity,4.73,6.032059748829539,Potential data error
pctWSocSec,percentage,Manchestertownship,76.39,6.026308336642372,Potential data error
PctWOFullPlumb,percentage,SanJuancity,2.98,5.995716337318343,Potential data error
racePctHisp,percentage,EaglePasscity,95.29,5.987700605978179,Potential data error
PctLargHouseFam,percentage,ElMontecity,28.02,5.966432855712622,Potential data error
PctPersDenseHous,percentage,BaldwinParkcity,37.49,5.958976935575574,Potential data error
PctLargHouseFam,percentage,Comptoncity,27.96,5.950616130690626,Potential data error
PctLargHouseFam,percentage,SanFernandocity,27.91,5.93743552650563,Potential data error
NumInShelters,count,Philadelphiacity,3416.0,5.936701913820142,Potential data error
murders,count,Baltimorecity,353.0,5.936636366301801,Potential data error
PctUsePubTrans,percentage,Bostoncity,32.2,5.936485603823319,Potential data error
robberies,count,Detroitcity,13591.0,5.935498902720416,Potential data error
PctLargHouseFam,percentage,BaldwinParkcity,27.89,5.93216328483163,Potential data error
murdPerPop,ratio,Richmondcity,60.06,5.920493315460581,Potential data error
racePctAsian,percentage,SanFranciscocity,29.13,5.915667827882504,Potential data error
pctWPubAsst,percentage,HighlandParkcity,34.6,5.9155003625532645,Potential data error
PctLargHouseFam,percentage,HuntingtonParkcity,27.82,5.913710438972635,Potential data error
ViolentCrimesPerPop,ratio,Atlantacity,4026.59,5.895503585279586,Potential data error
racePctHisp,percentage,Laredocity,93.87,5.89035057161675,Potential data error
robbbPerPop,ratio,EastOrangecity,1541.82,5.884456983613751,Potential data error
murdPerPop,ratio,HighlandParkcity,59.51,5.860415289423421,Potential data error
racepctblack,percentage,HighlandParkcity,92.8,5.859677810210109,Potential data error
PctRecentImmig,percentage,HuntingtonParkcity,10.44,5.854858152254583,Potential data error
racePctHisp,percentage,Maywoodcity,93.11,5.8382477363247185,Potential data error
arsonsPerPop,ratio,Providencecity,256.33,5.837588688159876,Potential data error
PctVacantBoarded,percentage,Berkeleycity,23.71,5.827921428337255,Potential data error
PersPerFam,ratio,Lynwoodcity,4.53,5.817911862333065,Potential data error
PersPerFam,ratio,Cudahycity,4.53,5.817911862333065,Potential data error
PctRecentImmig,percentage,ElMontecity,10.38,5.817250170422039,Potential data error
racepctblack,percentage,BentonHarborcity,92.19,5.816852580300317,Potential data error
PctNotSpeakEnglWell,percentage,SouthElMontecity,26.89,5.8165315787710705,Potential data error
PctPersDenseHous,percentage,Commercecity,36.57,5.79462863074095,Potential data error
PctRecentImmig,percentage,Bellcity,10.34,5.792178182533675,Potential data error
murdPerPop,ratio,Richmondcity,58.83,5.786137002686567,Potential data error
autoTheft,count,SanDiegocity,19319.0,5.7761582080333005,Potential data error
PctRecentImmig,percentage,MontereyParkcity,10.3,5.767106194645312,Potential data error
racePctHisp,percentage,Nogalescity,91.97,5.760093483386671,Potential data error
racePctHisp,percentage,HuntingtonParkcity,91.85,5.751866719919507,Potential data error
robbbPerPop,ratio,Irvingtontownship,1508.01,5.740209083289846,Potential data error
autoTheftPerPop,ratio,Fresnocity,3367.61,5.738976451400841,Potential data error
ViolentCrimesPerPop,ratio,Newarkcity,3928.03,5.727516650301894,Potential data error
PersPerRentOccHous,ratio,BellGardenscity,4.61,5.7257163918345615,Potential data error
PctHousOccup,percentage,Naplescity,64.1,5.721482899926919,Potential data error
murdPerPop,ratio,Harveycity,58.12,5.708581732711324,Potential data error
medIncome,monetary,ParadiseValleytown,110550.0,5.704612176611403,Potential data error
murdPerPop,ratio,Detroitcity,58.06,5.702027766234543,Potential data error
racePctHisp,percentage,Robstowncity,91.07,5.6983927573829485,Potential data error
PersPerFam,ratio,SouthJordancity,4.5,5.69326925262538,Potential data error
racePctHisp,percentage,Mercedescity,90.92,5.688109303048995,Potential data error
robbbPerPop,ratio,Atlantacity,1495.04,5.684873523774878,Potential data error
racePctHisp,percentage,SanJuancity,90.8,5.679882539581832,Potential data error
PctPersDenseHous,percentage,Rosemeadcity,35.92,5.678512980586052,Potential data error
racePctHisp,percentage,Commercecity,90.7,5.6730269033591965,Potential data error
arsons,count,Columbuscity,1029.0,5.663518162922863,Potential data error
racepctblack,percentage,EastOrangecity,89.95,5.659592719647965,Potential data error
assaultPerPop,ratio,Annistoncity,2847.77,5.653611206811934,Potential data error
PctRecentImmig,percentage,Miamicity,10.11,5.648014252175584,Potential data error
PctLargHouseFam,percentage,LaPuentecity,26.78,5.6395538719247105,Potential data error
rapesPerPop,ratio,DesMoinescity,219.67,5.6360734007601065,Potential data error
racePctHisp,percentage,Brownsvillecity,90.14,5.634635340512436,Potential data error
PctWOFullPlumb,percentage,Mercedescity,2.82,5.62021059221245,Potential data error
PersPerFam,ratio,SouthElMontecity,4.48,5.6101741794869255,Potential data error
RentQrange,count,Manchestertownship,675.0,5.607860852797552,Potential data error
racepctblack,percentage,WarrensvilleHeightscity,88.99,5.592195636511242,Potential data error
autoTheftPerPop,ratio,SantaFeSpringscity,3292.81,5.590637227573526,Potential data error
ViolentCrimesPerPop,ratio,Alexandriacity,3834.1,5.5674211470302355,Potential data error
PctPersDenseHous,percentage,Comptoncity,35.26,5.5606109358133855,Potential data error
ViolentCrimesPerPop,ratio,Miamicity,3829.21,5.559086567971379,Potential data error
racePctHisp,percentage,Cudahycity,88.92,5.55099657859628,Potential data error
PctNotSpeakEnglWell,percentage,Lynwoodcity,25.73,5.540958984348123,Potential data error
PctNotSpeakEnglWell,percentage,SouthGatecity,25.71,5.5362077327201415,Potential data error
racePctHisp,percentage,Pharrcity,88.43,5.517403961105365,Potential data error
pctWSocSec,percentage,Berkeleytownship,72.15,5.515078852628667,Potential data error
burglaries,count,Baltimorecity,17901.0,5.513265303913927,Potential data error
burglaries,count,SanAntoniocity,17866.0,5.502007516794245,Potential data error
racePctHisp,percentage,Donnacity,88.19,5.500950434171038,Potential data error
arsonsPerPop,ratio,Flintcity,243.28,5.498452759406254,Potential data error
PctLargHouseFam,percentage,Bellcity,26.17,5.478750500867755,Potential data error
PctUsePubTrans,percentage,Chicagocity,29.94,5.476369873187201,Potential data error
PctNotSpeakEnglWell,percentage,Nogalescity,25.41,5.464938958300412,Potential data error
racePctHisp,percentage,SanBenitocity,87.59,5.459816616835224,Potential data error
racePctHisp,percentage,BellGardenscity,87.53,5.455703235101642,Potential data error
PctRecentImmig,percentage,Cudahycity,9.78,5.441170352096586,Potential data error
PctHousOccup,percentage,Bournetown,65.54,5.435745814682023,Potential data error
PctHousOccup,percentage,BullheadCitycity,65.59,5.42582438811102,Potential data error
PersPerRentOccHous,ratio,Cudahycity,4.49,5.419373034839584,Potential data error
assaultPerPop,ratio,Selmacity,2740.99,5.409265986029357,Potential data error
PersPerFam,ratio,Maywoodcity,4.43,5.4024364966407825,Potential data error
PctLargHouseFam,percentage,Centervillecity,25.88,5.402302996594776,Potential data error
OwnOccQrange,count,Summitcity,267700.0,5.398724469999648,Potential data error
robberies,count,Baltimorecity,12376.0,5.3954291113582205,Potential data error
arsonsPerPop,ratio,Blythevillecity,239.26,5.393983300893643,Potential data error
PctPopUnderPov,percentage,BentonHarborcity,58.0,5.39395762073033,Potential data error
PctPersDenseHous,percentage,Paramountcity,34.24,5.378398684801085,Potential data error
PctVacantBoarded,percentage,Bridgetoncity,22.06,5.368514255146618,Potential data error
PctWOFullPlumb,percentage,SanBenitocity,2.71,5.362050392452147,Potential data error
PctHousOccup,percentage,VentnorCitycity,65.92,5.3603429727424,Potential data error
larcenies,count,Detroitcity,42818.0,5.357242335588454,Potential data error
racePctHisp,percentage,Bellcity,86.08,5.356296509873424,Potential data error
PctHousOccup,percentage,Lowertownship,65.96,5.352405831485599,Potential data error
PctUsePubTrans,percentage,Philadelphiacity,29.31,5.348107523496601,Potential data error
racePctHisp,percentage,Edinburgcity,85.89,5.343270801050416,Potential data error
PctVacantBoarded,percentage,Philadelphiacity,21.96,5.340671396165368,Potential data error
PctLargHouseFam,percentage,PleasantGrovecity,25.59,5.325855492321797,Potential data error
murders,count,Dallascity,317.0,5.31758332581394,Potential data error
racePctAsian,percentage,SouthSanFranciscodivision,26.37,5.298609303062673,Potential data error
robbbPerPop,ratio,WestHollywoodcity,1401.09,5.284042697527294,Potential data error
PctRecentImmig,percentage,Maywoodcity,9.51,5.271934433850133,Potential data error
autoTheftPerPop,ratio,CollegeParkcity,3130.72,5.269189302571262,Potential data error
arsons,count,SanAntoniocity,958.0,5.261068971509037,Potential data error
PctLargHouseFam,percentage,SouthGatecity,25.34,5.259952471396815,Potential data error
RentQrange,count,Doylestowntownship,645.0,5.255692177250745,Potential data error
racePctHisp,percentage,SouthElMontecity,84.57,5.252776402911623,Potential data error
robbbPerPop,ratio,HighlandParkcity,1393.57,5.251959165719079,Potential data error
PctNotSpeakEnglWell,percentage,Rosemeadcity,24.51,5.2511326350412295,Potential data error
rapes,count,SanAntoniocity,553.0,5.232815875778457,Potential data error
PctUsePubTrans,percentage,Ryecity,28.72,5.227988815056199,Potential data error
PctUsePubTrans,percentage,Brooklinetown,28.71,5.22595290474365,Potential data error
PctLargHouseFam,percentage,Oremcity,25.2,5.223046779678826,Potential data error
OwnOccQrange,count,UniversityParkcity,260600.0,5.217127967949513,Potential data error
autoTheft,count,Dallascity,17465.0,5.206618716593774,Potential data error
PctUsePubTrans,percentage,Wilkinsburgborough,28.6,5.203557891305609,Potential data error
burglPerPop,ratio,BentonHarborcity,5000.38,5.201538121061222,Potential data error
PctWOFullPlumb,percentage,Windhamtown,2.64,5.19776662896832,Potential data error
PctPersDenseHous,percentage,Delanocity,33.13,5.1801088822288754,Potential data error
racePctHisp,percentage,Douglascity,83.47,5.1773644044626295,Potential data error
larcenies,count,Baltimorecity,41451.0,5.177228950856771,Potential data error
arsonsPerPop,ratio,Gilroycity,230.84,5.175169161421957,Potential data error
RentQrange,count,Longmeadowtown,638.0,5.173519486289822,Potential data error
PctNotSpeakEnglWell,percentage,Delanocity,24.15,5.1656101057375565,Potential data error
racePctHisp,percentage,PicoRiveracity,83.2,5.158854186661514,Potential data error
racePctHisp,percentage,SouthGatecity,83.13,5.154055241305668,Potential data error
PctNotSpeakEnglWell,percentage,Brownsvillecity,24.08,5.14898072503962,Potential data error
PctRecentImmig,percentage,Passaiccity,9.31,5.146574494408315,Potential data error
ViolentCrimesPerPop,ratio,AtlanticCitycity,3583.48,5.140261187167115,Potential data error
OwnOccQrange,count,Princetontownship,257401.0,5.135307234138474,Potential data error
racePctHisp,percentage,SanFernandocity,82.74,5.127318260037389,Potential data error
robbbPerPop,ratio,Detroitcity,1362.78,5.120595875243686,Potential data error
OwnOccQrange,count,Cambridgecity,256800.0,5.119935473894512,Potential data error
robbbPerPop,ratio,Chestercity,1360.92,5.112660320833676,Potential data error
PctRecentImmig,percentage,BellGardenscity,9.25,5.10896651257577,Potential data error
assaultPerPop,ratio,Spartanburgcity,2605.11,5.0983310862359845,Potential data error
PctPersDenseHous,percentage,LaPuentecity,32.6,5.0854299674871895,Potential data error
PctUsePubTrans,percentage,Somervillecity,27.93,5.067151900364813,Potential data error
ViolentCrimesPerPop,ratio,Annistoncity,3540.57,5.067124829822425,Potential data error
pctWSocSec,percentage,Venicecity,68.37,5.059312944710787,Potential data error
pctWPubAsst,percentage,MuskegonHeightscity,30.57,5.057921031550247,Potential data error
ViolentCrimesPerPop,ratio,Camdencity,3530.78,5.0504386275757565,Potential data error
PctUsePubTrans,percentage,UnionCitycity,27.8,5.040685066301674,Potential data error
PctVacantBoarded,percentage,Flintcity,20.85,5.031615661473485,Potential data error
RentQrange,count,Bernardstownship,625.0,5.020913060219539,Potential data error
robberies,count,Philadelphiacity,11531.0,5.019825017777105,Potential data error
medIncome,monetary,PalosVerdesEstatescity,101320.0,5.016917258011026,Potential data error
PctLargHouseFam,percentage,AmericanForkcity,24.41,5.014793233555882,Potential data error
PctWOFullPlumb,percentage,LakeCitycity,2.56,5.010013756415374,Potential data error
OwnOccQrange,count,Tenaflyborough,252401.0,5.0074223735397885,Potential data error
burglPerPop,ratio,Prichardcity,4849.24,5.003374807306879,Potential data error
burglPerPop,ratio,Camdencity,4848.97,5.00302080376901,Potential data error
racepctblack,percentage,Garycity,80.57,5.0010670531662385,Potential data error
PersPerFam,ratio,BaldwinParkcity,4.33,4.9869611309485045,Rare but real
racePctAsian,percentage,Carsoncity,24.97,4.985608602067105,Rare but real
rapesPerPop,ratio,Claremontcity,198.34,4.9837403615432425,Rare but real
racePctAsian,percentage,DiamondBarcity,24.89,4.9677228477245015,Rare but real
PctNotSpeakEnglWell,percentage,Watsonvillecity,23.31,4.9660575373623175,Rare but real
autoTheftPerPop,ratio,SouthOrangeVillagetownship,2977.55,4.965431028324876,Rare but real
PctLargHouseFam,percentage,Donnacity,24.21,4.9620708168158965,Rare but real
racepctblack,percentage,Harveycity,79.99,4.960347982104469,Rare but real
racePctWhite,percentage,Tuskegeecity,2.68,4.952663404851316,Rare but real
PctLargHouseFam,percentage,Paramountcity,24.16,4.948890212630901,Rare but real
racePctHisp,percentage,Missioncity,80.08,4.944958336515277,Rare but real
murdPerPop,ratio,Youngstowncity,50.99,4.929752049720498,Rare but real
NumInShelters,count,SanDiegocity,2846.0,4.926288923216082,Rare but real
medIncome,monetary,SanMarinocity,100077.0,4.92430568879973,Rare but real
racepctblack,percentage,Prichardcity,79.42,4.920330963992041,Rare but real
racePctHisp,percentage,Weslacocity,79.69,4.918221355246998,Rare but real
PctRecentImmig,percentage,Alhambracity,8.94,4.914658606440953,Rare but real
autoTheftPerPop,ratio,Miamicity,2951.52,4.913809771690851,Rare but real
PersPerRentOccHous,ratio,ElMontecity,4.29,4.908800773181289,Rare but real
PersPerFam,ratio,Comptoncity,4.31,4.903866057810046,Rare but real
autoTheftPerPop,ratio,CityofOrangetownship,2945.82,4.902505846880482,Rare but real
PctWOFullPlumb,percentage,Maywoodcity,2.51,4.89266821106978,Rare but real
