communityname,population,racepctblack,racePctWhite,racePctAsian,racePctHisp,pctUrban,medIncome,pctWSocSec,pctWPubAsst,PctPopUnderPov,PctUnemployed,PersPerFam,PctFam2Par,PctImmigRec5,PctRecentImmig,PctNotSpeakEnglWell,PctLargHouseFam,PersPerRentOccHous,PctPersDenseHous,PctHousOccup,PctVacantBoarded,PctHousNoPhone,PctWOFullPlumb,OwnOccQrange,RentQrange,NumInShelters,PctSameHouse85,PctUsePubTrans,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
Shermancity,31601,12.63,83.22,0.77,4.39,100.0,24763,32.68,7.02,15.61,7.19,2.99,68.41,35.39,0.53,0.81,3.66,2.31,3.41,87.33,2.77,7.89,0.3,41400,142,1,44.95,0.0,1,3.11,29.0,90.25,71.0,220.96,131.0,407.69,468.0,1456.49,1817.0,5654.8,151.0,469.94,6.0,18.67,722.02,7599.9
SanPablocity,25158,21.34,49.42,17.21,26.78,100.0,25479,22.99,23.63,19.02,10.16,3.47,58.06,32.75,5.78,10.8,12.43,2.79,18.18,92.42,3.78,6.25,0.64,49900,190,20,38.61,11.22,12,44.42,21.0,77.73,309.0,1143.81,362.0,1340.0,478.0,1769.39,1460.0,5404.4,430.0,1591.71,20.0,74.03,2605.96,8839.53
BowlingGreencity,40641,12.18,86.39,1.12,0.68,0.0,20043,27.11,9.6,23.91,6.93,2.92,64.6,49.52,0.51,0.59,2.99,2.17,2.49,91.27,1.51,10.67,0.23,44300,136,28,41.51,0.28,3,6.54,36.0,78.53,58.0,126.52,269.0,586.8,582.0,1269.58,1786.0,3895.99,148.0,322.85,9.0,19.63,798.39,5508.05
PineBluffcity,57140,53.52,45.65,0.49,0.43,100.0,19143,33.46,13.58,27.71,11.05,3.26,58.65,32.43,0.19,0.54,7.86,2.65,5.43,90.0,4.06,11.65,0.73,31800,135,28,56.01,0.93,16,27.26,59.0,100.51,261.0,444.61,531.0,904.55,1754.0,2987.92,2010.0,3424.02,517.0,880.7,46.0,78.36,1476.93,7371.0
NewUlmcity,13132,0.06,99.21,0.47,0.59,0.0,25797,34.35,6.6,6.84,3.67,3.04,79.99,17.65,0.12,0.42,3.61,1.88,0.94,96.65,0.0,1.5,0.65,29200,132,0,61.36,0.08,0,0.0,7.0,26.92,0.0,0.0,9.0,65.82,67.0,489.98,283.0,2069.62,21.0,153.58,1.0,7.31,374.06,2720.49
Maplewoodcity,30954,2.52,94.39,2.03,1.55,100.0,37856,23.45,4.87,6.22,4.17,3.07,76.68,10.96,0.26,0.69,3.71,2.08,1.43,94.85,2.08,0.35,0.35,33600,193,0,55.61,3.35,0,0.0,7.0,26.92,27.0,79.7,37.0,109.22,226.0,667.12,1618.0,4776.1,159.0,469.34,7.0,20.66,374.06,5933.23
Enfieldtown,45532,2.65,95.72,1.04,2.28,96.51,44635,24.74,3.78,2.89,4.01,3.13,81.96,11.7,0.49,0.92,4.08,2.29,1.23,96.21,0.16,0.89,0.13,36700,282,8,60.3,1.28,1,2.19,0.0,0.0,23.0,50.46,17.0,37.29,282.0,618.62,906.0,1987.5,232.0,508.94,7.0,15.36,89.94,3130.42
Glendalecity,180038,1.3,74.02,14.14,20.96,100.0,34372,20.3,11.27,14.37,6.95,3.22,77.1,41.41,13.71,15.46,6.98,2.56,18.31,95.13,2.25,1.53,0.46,220000,252,82,37.69,4.15,9,5.02,30.0,16.72,355.0,197.91,277.0,154.42,1596.0,889.74,4501.0,2509.23,1447.0,806.68,73.0,40.7,374.07,4246.34
Worthingtoncity,14869,2.28,94.74,2.67,0.74,100.0,49851,23.77,1.59,2.35,2.57,3.01,82.5,16.19,0.56,0.53,2.47,2.14,0.43,97.14,0.61,0.18,0.21,58900,199,10,59.75,1.96,0,0.0,2.0,13.24,10.0,66.18,5.0,33.09,99.0,655.15,414.0,2739.73,18.0,119.12,4.0,26.47,112.5,3540.47
Arlingtoncity,261721,8.41,82.64,3.92,8.91,100.0,35048,11.05,2.71,8.21,4.99,3.14,78.19,30.13,1.45,2.2,4.07,2.25,4.95,89.26,1.81,5.5,0.14,46100,157,47,36.76,0.14,7,2.39,146.0,49.94,710.0,242.88,1396.0,477.55,3977.0,1360.48,11514.0,3938.78,2452.0,838.8,97.0,33.18,772.77,6171.23
Plymouthcity,50889,1.61,95.66,2.04,1.02,100.0,51314,11.08,2.41,3.36,3.24,3.14,85.61,22.48,0.37,0.56,3.3,2.08,1.21,93.6,0.08,0.29,0.14,69800,157,0,43.01,2.64,0,0.0,7.0,26.92,13.0,21.41,55.0,90.6,271.0,446.39,1468.0,2418.09,100.0,164.72,62.0,102.13,374.06,3131.33
NewYorkcity,7322564,28.71,52.26,7.0,24.36,100.0,29823,24.6,13.12,19.29,8.98,3.27,57.64,25.51,4.51,9.84,9.16,2.43,12.3,94.23,4.83,7.33,1.25,94900,295,23383,63.06,54.33,1946,26.59,2818.0,38.5,86001.0,1174.95,62778.0,857.68,99207.0,1355.37,235132.0,3212.39,112464.0,1536.49,4443.0,60.7,2097.71,6164.95
Marinacity,26436,18.97,53.6,20.84,10.73,100.0,29043,10.74,6.9,9.67,3.5,3.32,80.12,18.31,2.25,4.31,7.26,3.18,11.94,95.73,0.57,1.62,0.24,45700,177,0,26.33,1.93,2,12.89,9.0,58.03,42.0,270.79,47.0,303.03,226.0,1457.12,547.0,3526.76,50.0,322.37,5.0,32.24,644.75,5338.49
Lebanoncity,12183,0.41,97.55,1.55,0.91,0.0,32221,23.87,3.37,6.07,3.14,2.93,74.41,23.14,0.71,1.23,1.9,2.02,1.26,90.47,1.28,3.83,0.79,59500,196,2,42.07,0.75,0,0.0,1.0,8.07,0.0,0.0,17.0,137.13,64.0,516.25,582.0,4694.68,27.0,217.79,4.0,32.27,145.2,5461.0
Rockledgecity,16023,13.79,83.94,1.42,2.4,100.0,34934,27.98,2.74,5.75,5.39,2.96,77.22,12.4,0.48,0.75,3.74,2.45,2.26,93.31,1.14,2.03,0.08,30600,137,0,45.19,0.58,0,0.0,10.0,55.52,19.0,105.48,72.0,399.71,226.0,1254.65,721.0,4002.66,63.0,349.75,2.0,11.1,560.71,5618.16
Rogerscity,24692,0.06,97.72,0.77,1.86,0.0,26198,31.04,3.92,8.72,3.31,2.96,78.73,23.73,0.27,0.75,3.36,2.38,2.8,94.31,0.34,8.04,0.4,30700,121,0,39.82,0.0,0,0.0,9.0,29.18,10.0,32.42,44.0,142.64,233.0,755.34,1215.0,3938.79,48.0,155.61,6.0,19.45,204.23,4869.19
Bellairecity,13842,0.41,94.65,1.98,7.95,100.0,45892,25.19,0.73,3.33,2.69,2.86,78.29,5.26,0.04,1.21,2.69,2.33,1.36,94.85,1.25,0.87,0.24,63100,187,0,57.14,1.11,1,6.69,2.0,13.38,24.0,160.6,25.0,167.29,149.0,997.06,357.0,2388.92,45.0,301.12,1.0,6.69,347.97,3693.79
ElCajoncity,88693,2.92,87.36,2.82,13.97,100.0,28108,21.99,12.74,12.92,7.07,3.09,65.86,31.36,2.01,3.17,5.26,2.63,8.76,95.47,1.47,2.97,0.24,81500,153,13,35.36,2.17,8,8.59,42.0,45.1,243.0,260.94,540.0,579.87,1368.0,1469.01,4316.0,4634.68,889.0,954.64,31.0,33.29,894.51,7091.62
MosesLakecity,11235,1.89,82.45,1.82,18.16,0.0,23258,27.62,10.28,15.28,6.5,3.12,75.49,30.07,1.71,2.94,5.93,2.29,4.87,93.07,2.18,6.75,0.32,34800,148,0,44.43,0.09,2,14.57,20.0,145.72,3.0,21.86,132.0,961.75,217.0,1581.06,975.0,7103.83,55.0,400.73,8.0,58.29,1143.9,9143.9
WestMemphiscity,28259,42.15,56.94,0.52,0.5,100.0,22052,25.09,13.69,22.94,8.34,3.33,60.12,5.88,0.0,0.18,7.83,2.77,6.3,94.04,8.31,12.35,1.08,30200,163,13,52.14,0.1,7,25.12,24.0,86.13,121.0,434.25,50.0,179.44,197.0,707.01,797.0,2860.32,238.0,854.15,0.0,0.0,724.95,4421.48
Eunicecity,11162,26.96,72.26,0.4,0.78,0.0,14874,33.58,18.81,38.27,13.93,3.32,67.27,0.0,0.0,2.4,9.0,2.86,7.17,90.68,7.32,14.35,0.64,31900,112,0,62.57,0.78,0,0.0,2.0,17.4,9.0,78.28,160.0,1391.67,213.0,1852.66,297.0,2583.28,32.0,278.33,1.0,8.7,1487.34,4722.97
Laredocity,122899,0.12,70.83,0.38,93.87,100.0,18395,22.73,16.71,37.29,11.24,4.16,75.51,21.62,3.43,21.64,21.34,3.54,26.43,94.21,6.4,12.42,2.11,41300,178,4,60.11,3.55,21,13.75,7.0,4.58,163.0,106.72,862.0,564.37,1720.0,1126.13,6246.0,4089.41,1040.0,680.91,80.0,52.38,689.42,5948.83
Amsterdamcity,20714,1.46,93.15,0.56,11.61,0.0,22166,43.79,7.08,13.5,8.97,2.96,65.74,18.96,0.64,2.49,4.07,2.21,1.79,92.49,2.1,6.72,0.66,38500,131,2,61.42,2.6,0,0.0,3.0,14.98,3.0,14.98,4.0,19.97,128.0,639.11,314.0,1567.81,17.0,84.88,5.0,21.08,49.93,4425.450000000001
Gorhamtown,11856,0.37,98.84,0.4,0.45,33.1,36618,22.01,4.56,4.05,5.73,3.15,80.48,4.9,0.07,0.24,3.62,2.27,1.2,96.69,0.0,1.17,0.71,64900,201,0,51.97,0.88,0,0.0,0.0,0.0,0.0,0.0,2.0,16.72,34.0,284.28,68.0,568.56,8.0,66.89,0.0,0.0,16.72,919.73
RockSpringscity,19050,1.17,94.31,0.96,7.46,0.0,34372,20.87,5.74,8.87,5.13,3.22,78.88,0.0,0.0,0.61,5.33,2.31,2.83,88.47,7.53,3.51,0.81,34000,149,5,54.59,5.76,1,4.92,14.0,68.92,6.0,29.54,111.0,546.45,213.0,1048.59,882.0,4342.05,76.0,374.14,0.0,0.0,649.83,5764.78
Oakdalecity,11961,0.24,88.57,1.11,17.04,0.0,27230,28.75,13.22,12.63,10.34,3.12,70.31,20.59,1.16,3.08,5.56,2.73,7.42,95.98,1.08,3.3,0.11,62000,182,11,39.82,0.0,0,0.0,4.0,28.91,7.0,50.6,37.0,267.46,161.0,1163.8,502.0,3628.74,51.0,368.66,13.0,93.97,346.97,5255.17
Hendersoncity,15655,52.88,46.59,0.19,0.54,0.0,18499,34.68,13.17,24.07,7.91,3.1,49.68,26.52,0.13,0.68,6.31,2.63,5.05,93.34,4.9,12.61,1.45,40600,133,0,57.15,0.11,6,36.77,3.0,18.38,73.0,447.33,207.0,1268.46,628.0,3848.28,1125.0,6893.8,102.0,625.04,10.0,61.28,1770.94,11428.4
Norcocity,23302,7.95,82.42,1.36,19.55,100.0,51594,17.3,5.92,5.34,5.1,3.49,82.9,16.87,0.48,2.25,10.56,3.19,6.06,96.66,3.63,2.5,0.24,106300,385,0,45.88,0.27,1,4.04,4.0,16.15,29.0,117.11,117.0,472.5,279.0,1126.73,554.0,2237.3,256.0,1033.84,15.0,60.58,609.81,4458.44
Greenvillecity,45226,59.63,39.76,0.43,0.56,0.0,18060,30.07,18.48,31.96,12.45,3.49,52.47,32.8,0.11,0.21,11.3,2.93,9.73,92.91,12.14,11.02,0.83,30900,163,6,59.55,0.24,16,35.96,34.0,76.4,66.0,148.31,133.0,298.88,1745.0,3921.35,2631.0,5912.36,186.0,417.98,57.0,128.09,559.55,10379.78
SanCarloscity,26167,0.94,91.3,6.07,6.46,100.0,54658,25.65,2.52,2.73,2.43,2.82,82.5,10.63,0.8,1.64,2.14,2.06,1.98,97.41,0.68,0.56,0.0,171901,361,0,58.4,3.98,1,3.54,1.0,3.54,24.0,85.06,32.0,113.41,153.0,542.25,586.0,2076.84,54.0,191.38,0.0,0.0,205.56,2810.46
SanAngelocity,84474,4.8,78.81,1.14,27.99,100.0,23534,27.01,6.25,18.5,7.71,3.16,74.97,13.43,0.42,3.89,5.71,2.45,6.6,88.57,1.64,7.89,0.47,37200,150,240,45.39,0.68,8,8.85,43.0,47.57,39.0,43.14,373.0,412.63,842.0,931.46,3333.0,3687.11,174.0,192.49,5.0,21.08,512.19,4425.450000000001
Barbertoncity,27623,5.26,94.08,0.29,0.33,100.0,21688,35.91,12.39,16.93,8.67,3.03,66.86,4.77,0.07,0.45,3.99,2.32,1.45,94.47,3.39,5.1,0.48,22700,133,0,59.58,1.91,0,0.0,7.0,25.08,22.0,78.84,176.0,630.69,206.0,738.19,990.0,3547.62,89.0,318.93,19.0,68.09,734.61,4672.83
Pontiaccity,71166,42.2,51.25,1.36,8.01,100.0,21962,23.85,22.07,26.67,14.4,3.34,46.61,14.75,0.27,1.35,9.52,2.61,6.93,93.17,12.83,8.97,0.46,17900,191,132,51.8,0.9,19,27.27,7.0,26.92,423.0,607.12,1420.0,2038.09,1470.0,2109.86,1964.0,2818.88,874.0,1254.43,60.0,86.12,374.06,6269.29
Suffolkcity,52141,44.58,54.68,0.38,0.61,74.94,26125,28.99,10.49,17.28,7.06,3.21,67.53,16.63,0.09,0.31,6.44,2.73,3.41,92.53,9.83,10.47,4.04,50700,198,0,59.38,1.63,9,16.22,37.0,66.7,160.0,288.42,304.0,547.99,646.0,1164.49,1974.0,3558.36,254.0,457.86,26.0,46.87,919.33,5227.58
Martinsvillecity,16162,36.84,62.7,0.2,0.37,0.0,22446,36.51,8.64,15.61,5.68,2.95,59.28,4.23,0.04,0.51,4.18,2.2,2.44,93.56,5.52,6.58,0.52,47400,134,17,61.23,0.0,2,12.52,7.0,43.81,22.0,137.7,78.0,488.2,164.0,1026.48,980.0,6133.82,54.0,337.99,9.0,56.33,682.23,7554.61
Bricktownship,66473,0.63,97.81,0.83,2.58,100.0,38742,34.09,3.6,3.74,5.55,3.1,84.22,11.78,0.26,0.85,4.06,2.46,1.31,86.55,0.72,0.67,0.16,61500,216,17,61.13,1.75,2,2.92,9.0,13.15,28.0,40.9,51.0,74.5,415.0,606.2,1214.0,1773.32,98.0,143.15,14.0,20.45,131.47,2543.13
LagunaBeachcity,23170,0.7,95.77,1.74,6.86,100.0,53419,19.88,2.75,6.14,1.84,2.65,76.69,20.76,1.97,2.03,2.54,1.84,2.34,86.31,0.57,0.39,0.44,156101,349,6,44.53,1.97,0,0.0,5.0,20.8,22.0,91.5,164.0,682.11,412.0,1713.6,874.0,3635.15,139.0,578.13,3.0,12.48,794.41,5939.36
Robstowncity,12849,1.85,62.03,0.19,91.07,0.0,16180,32.32,24.32,37.04,12.26,3.96,72.16,3.26,0.0,14.64,18.52,3.63,20.25,86.6,25.81,17.21,3.15,24500,138,0,69.4,1.23,1,7.38,1.0,7.38,3.0,22.15,52.0,383.99,302.0,2230.1,324.0,2392.56,56.0,413.53,8.0,59.08,420.91,5095.26
Wyomingcity,63891,2.72,93.52,1.49,3.5,100.0,31103,21.77,4.69,7.07,5.13,3.15,76.5,16.5,0.28,0.95,4.93,2.18,2.55,96.46,0.79,1.71,0.09,23200,104,0,53.39,0.59,1,1.55,7.0,26.92,116.0,180.07,243.0,377.21,625.0,970.18,2235.0,3469.37,264.0,409.8,13.0,20.18,374.06,4869.53
Hastingscity,15440,0.31,98.63,0.64,0.49,0.0,36091,22.69,3.41,5.0,5.18,3.22,79.12,25.32,0.26,0.61,4.2,2.17,1.63,97.4,0.69,1.44,0.22,27900,110,0,51.79,1.69,0,0.0,7.0,26.92,2.0,12.1,16.0,96.82,120.0,726.17,369.0,2232.98,40.0,242.06,1.0,6.05,374.06,3207.26
Paragouldcity,18540,0.09,99.39,0.18,0.51,0.0,19985,34.55,8.77,18.82,7.01,2.92,76.53,0.0,0.0,0.28,2.28,2.34,1.88,94.03,4.66,10.95,0.51,29500,121,7,52.41,0.23,1,4.65,9.0,41.81,2.0,9.29,8.0,37.16,134.0,622.47,502.0,2331.96,35.0,162.59,1.0,4.65,92.91,3121.66
BeverlyHillscity,31971,1.7,91.28,5.46,5.4,100.0,54348,28.0,3.47,6.6,3.8,2.87,75.73,22.29,4.73,4.86,4.05,1.78,3.27,92.63,1.38,0.4,0.2,0,341,0,52.74,4.31,1,3.0,8.0,24.03,281.0,843.97,72.0,216.25,472.0,1417.63,1755.0,5271.06,221.0,663.76,14.0,42.05,1087.25,7394.5
UniversityHeightscity,14790,16.34,81.75,1.53,1.0,100.0,43376,33.47,2.47,2.9,4.65,2.99,83.94,12.29,0.74,0.8,3.36,1.8,0.56,97.45,0.0,0.21,0.0,36000,175,0,53.8,5.81,0,0.0,2.0,13.97,14.0,97.77,18.0,125.71,62.0,432.99,186.0,1298.97,31.0,216.5,0.0,0.0,237.45,1948.46
Marioncity,34075,4.22,94.72,0.45,0.85,0.0,22439,30.89,12.41,16.85,10.98,3.1,70.49,13.67,0.0,0.24,4.6,2.45,1.68,92.53,3.38,12.2,0.81,24000,99,4,53.95,1.01,1,2.88,16.0,46.03,37.0,106.44,20.0,57.53,587.0,1688.58,1533.0,4409.86,103.0,296.29,3.0,8.63,212.87,6403.36
Toledocity,332943,19.7,76.96,1.05,3.97,100.0,24819,28.93,12.29,19.09,9.92,3.13,62.64,27.39,0.53,0.8,5.59,2.28,1.95,92.09,13.37,5.49,0.34,34700,155,260,56.77,3.0,45,13.89,357.0,110.19,1594.0,492.02,1195.0,368.86,5502.0,1698.29,15251.0,4707.51,4517.0,1394.26,357.0,110.19,984.96,7910.25
Philadelphiacity,1585577,39.86,53.52,2.74,5.63,100.0,24603,31.63,13.98,20.27,9.62,3.26,53.45,24.3,1.08,2.63,8.48,2.25,4.69,89.36,21.96,4.25,0.88,49200,231,3416,64.33,29.31,439,28.7,785.0,51.31,11531.0,753.74,6821.0,445.86,15117.0,988.14,39181.0,2561.1,23785.0,1554.73,2282.0,149.17,1279.6,5253.14
Newtoncity,82585,2.08,92.78,4.55,1.98,100.0,59719,25.85,2.91,4.33,3.94,3.05,84.76,21.86,2.09,1.63,4.02,2.19,0.84,96.58,0.29,0.37,0.27,169700,423,196,60.43,12.27,1,1.17,11.0,12.82,27.0,31.46,181.0,210.9,479.0,558.12,1467.0,1709.31,248.0,288.96,0.0,0.0,256.34,2556.39
OrmondBeachcity,29721,3.52,95.13,1.03,1.7,100.0,32704,41.16,4.52,6.72,4.21,2.75,76.18,7.12,0.41,0.7,2.01,2.13,1.07,89.52,0.81,1.73,0.08,57900,241,0,46.85,0.77,0,0.0,10.0,31.02,24.0,74.45,12.0,37.23,293.0,908.95,948.0,2940.9,78.0,241.97,0.0,0.0,142.7,4091.83
Lynchburgcity,66049,26.41,72.45,0.76,0.72,100.0,23726,35.02,7.54,16.45,5.97,2.98,64.0,43.05,0.51,0.35,3.95,2.21,1.83,92.33,4.31,7.07,0.29,42100,174,47,52.6,3.33,3,4.47,45.0,67.0,107.0,159.32,351.0,522.63,560.0,833.83,2316.0,3448.48,184.0,273.97,50.0,74.45,753.42,4630.73
Clintoncity,21847,17.14,81.71,0.92,0.48,100.0,36770,18.35,3.8,9.48,3.37,3.21,76.53,53.98,0.71,0.35,3.92,2.41,2.99,94.61,0.94,2.6,0.37,32100,121,0,46.9,0.24,2,8.76,0.0,0.0,14.0,61.34,12.0,52.58,169.0,740.51,435.0,1906.06,12.0,52.58,5.0,21.91,122.69,2721.06
Andersoncity,26184,34.26,65.09,0.31,0.53,100.0,19433,39.05,8.88,19.89,7.46,3.03,56.04,19.78,0.11,0.44,5.24,2.36,3.97,91.36,2.41,11.53,0.25,40600,173,12,50.04,0.88,8,26.85,15.0,50.34,134.0,449.74,394.0,1322.37,568.0,1906.36,1221.0,4098.0,137.0,459.81,3.0,10.07,1849.3,6474.24
Mesquitecity,101484,5.83,87.21,2.63,8.77,100.0,35934,13.22,4.08,7.73,4.74,3.23,77.5,21.81,0.49,1.19,4.66,2.5,4.75,91.35,5.24,3.79,0.16,34300,149,0,43.88,1.22,5,4.32,33.0,28.5,137.0,118.34,481.0,415.48,205.0,822.7149999999999,5181.0,4475.25,761.0,657.34,93.0,80.33,566.64,4425.450000000001
ParkForestvillage,24656,24.63,73.0,1.13,3.12,100.0,36995,22.53,4.16,4.89,4.94,3.14,71.03,11.4,0.16,0.67,4.83,2.53,1.63,96.58,0.31,1.03,0.15,26400,235,0,57.89,11.71,2,7.89,7.0,26.92,25.0,98.58,30.0,118.29,124.0,488.94,523.0,2062.22,113.0,445.57,4.0,15.77,374.06,3012.5
ChippewaFallscity,12727,0.11,99.03,0.34,0.34,100.0,23056,33.86,8.75,11.12,6.85,3.0,72.22,0.0,0.0,0.47,3.44,1.97,1.06,95.58,2.54,2.55,0.56,21900,143,0,54.71,0.19,0,0.0,2.0,14.83,1.0,7.42,4.0,29.66,50.0,370.81,386.0,2862.65,15.0,111.24,4.0,29.66,51.91,3374.37
Beavercreekcity,33626,0.92,96.35,2.34,1.02,100.0,49143,17.53,1.98,3.51,3.13,3.14,89.64,21.14,0.52,0.49,3.26,2.29,0.45,96.25,0.22,0.35,0.07,45900,196,0,57.26,0.34,0,0.0,3.0,7.91,20.0,52.76,13.0,34.3,200.0,527.63,1030.0,2717.32,70.0,184.67,26.0,68.59,94.97,3498.22
Keenecity,22430,0.28,98.83,0.59,0.59,0.0,31235,28.59,4.67,8.06,6.42,2.97,74.41,21.38,0.2,0.52,2.93,2.07,1.25,94.91,0.44,4.6,0.33,51500,249,1,47.1,0.03,0,0.0,23.0,102.18,4.0,17.77,68.0,302.1,155.0,688.61,835.0,3709.63,24.0,106.62,14.0,62.2,422.05,4567.06
Springfieldtownship,13352,2.55,97.01,0.28,0.36,73.6,32713,32.15,5.23,8.79,5.41,3.02,82.16,3.85,0.04,0.48,3.26,2.51,1.2,97.29,2.27,2.3,1.35,43400,164,4,63.34,0.2,0,0.0,15.0,37.91,38.0,96.04,126.0,318.45,324.0,818.86,968.0,2446.48,36.0,90.98,13.0,32.86,452.4,3389.19
Swissvaleborough,10637,9.69,89.52,0.51,0.75,100.0,23773,35.02,8.65,12.53,6.62,2.88,63.45,15.57,0.0,0.35,3.26,1.81,0.65,93.22,5.87,1.91,1.15,25700,130,0,64.43,16.83,2,18.94,5.0,47.34,18.0,170.42,18.0,170.42,65.0,615.41,200.0,1893.58,121.0,1145.62,9.0,85.21,407.12,3739.82
Knoxvillecity,165121,15.78,82.73,1.04,0.67,100.0,19923,30.68,9.69,20.8,7.11,2.88,62.09,44.26,0.71,0.48,3.15,2.01,2.29,91.52,7.04,6.38,0.28,33700,156,354,47.86,1.93,14,8.14,102.0,59.32,596.0,346.59,2200.0,1279.37,2817.0,1638.17,6027.0,3504.88,1609.0,935.68,173.0,100.6,1693.42,6179.34
Kernersvilletown,10836,5.59,92.94,0.58,1.49,0.0,25649,19.2,2.24,8.46,5.99,2.82,66.54,34.88,0.33,0.81,1.49,2.05,1.7,93.81,1.27,6.37,0.65,50300,117,0,34.76,0.0,1,7.46,1.0,7.46,17.0,126.74,43.0,320.58,150.0,1118.32,606.0,4518.0,42.0,313.13,1.0,7.46,462.24,5956.91
Bloomingtoncity,86335,1.61,94.71,3.09,0.93,100.0,41736,19.95,2.63,3.7,3.28,2.95,80.21,17.65,0.5,0.71,2.84,1.92,1.41,96.29,0.15,0.63,0.18,45000,182,0,54.64,3.14,4,4.65,7.0,26.92,65.0,75.59,103.0,119.79,715.0,831.52,3658.0,4254.13,417.0,484.96,5.0,21.08,374.06,4425.450000000001
