Êcommunityname,PctPopUnderPov,medIncome,PctUnemployed,PctLess9thGrade,PctNotHSGrad,PctSameHouse85,PctForeignBorn,PctImmigRec5,PctFam2Par,PctKids2Par,racepctblack,racePctWhite,racePctAsian,racePctHisp,PctHousOwnOcc,PctHousNoPhone,PctVacantBoarded,PopDens,MedYrHousBuilt,murdPerPop,robbbPerPop,assaultPerPop,larcPerPop,autoTheftPerPop,arsonsPerPop,PctSameCity85,PctSameState85,PctBSorMore,PctEmploy,PctWorkMom
RockSpringscity,8.87,34372.0,5.13,5.6,17.5,54.59,1.72,0.0,78.88,77.97,1.17,94.31,0.96,7.46,67.27,3.51,7.53,998.4,1972.0,4.92,29.54,546.45,4342.05,374.14,0,83.65,89.98,14.84,67.09,68.72
Oakdalecity,12.63,27230.0,10.34,12.32,30.95,39.82,8.16,20.59,70.31,67.82,0.24,88.57,1.11,17.04,56.37,3.3,1.08,2853.3,1972.0,,50.6,267.46,3628.74,368.66,93.97,76.72,94.06,9.97,54.22,61.73
Hendersoncity,24.07,18499.0,7.91,21.8,43.91,57.15,1.15,26.52,49.68,42.97,52.88,46.59,0.19,0.54,52.29,12.61,4.9,2134.0,1960.0,36.77,447.33,1268.46,6893.8,625.04,61.28,86.06,91.66,11.92,57.23,75.86
Norcocity,5.34,51594.0,5.1,4.93,24.25,45.88,7.18,16.87,82.9,75.36,7.95,82.42,1.36,19.55,82.4,2.5,3.63,1641.4,1970.0,4.04,117.11,472.5,2237.3,1033.84,60.58,59.47,94.53,10.32,48.14,57.79
Greenvillecity,31.96,18060.0,12.45,18.51,38.54,59.55,0.55,32.8,52.47,42.18,59.63,39.76,0.43,0.56,58.32,11.02,12.14,1672.6,1965.0,35.96,148.31,298.88,5912.36,417.98,128.09,88.62,93.77,15.58,51.79,73.08
SanCarloscity,2.73,54658.0,2.43,2.43,8.38,58.4,12.55,10.63,82.5,81.21,0.94,91.3,6.07,6.46,72.37,0.56,0.68,4486.8,1957.0,3.54,85.06,113.41,2076.84,191.38,0,82.21,92.84,35.77,69.33,71.0
SanAngelocity,18.5,23534.0,7.71,14.84,29.08,45.39,5.38,13.43,74.97,70.45,4.8,78.81,1.14,27.99,59.21,7.89,1.64,1702.6,1967.0,8.85,43.14,412.63,3687.11,192.49,?,73.13,87.74,17.61,61.16,71.83
Barbertoncity,16.93,21688.0,8.67,8.47,31.19,59.58,1.44,4.77,66.86,64.74,5.26,94.08,0.29,0.33,64.26,5.1,3.39,3513.5,1949.0,,78.84,630.69,3547.62,318.93,68.09,91.71,96.11,7.88,51.76,61.45
Pontiaccity,26.67,21962.0,14.4,12.04,37.61,51.8,2.31,14.75,46.61,41.73,42.2,51.25,1.36,8.01,49.73,8.97,12.83,3434.7,1954.0,27.27,607.12,2038.09,2818.88,1254.43,86.12,86.51,92.67,7.95,51.07,59.61
Suffolkcity,17.28,26125.0,7.06,17.59,36.09,59.38,0.83,16.63,67.53,59.27,44.58,54.68,0.38,0.61,67.75,10.47,9.83,125.8,1967.0,16.22,288.42,547.99,3558.36,457.86,46.87,80.79,93.24,12.26,57.9,70.29
Martinsvillecity,15.61,22446.0,5.68,18.52,37.05,61.23,0.88,4.23,59.28,53.26,36.84,62.7,0.2,0.37,60.67,6.58,5.52,1423.7,1959.0,12.52,137.7,488.2,6133.82,337.99,56.33,81.36,92.68,15.82,57.4,77.01
Bricktownship,3.74,38742.0,5.55,5.59,20.23,61.13,4.71,11.78,84.22,82.61,0.63,97.81,0.83,2.58,82.54,0.67,0.72,2441.0,1972.0,2.92,40.9,74.5,1773.32,143.15,20.45,77.21,94.05,16.51,60.08,64.45
LagunaBeachcity,6.14,53419.0,1.84,2.39,5.87,44.53,11.17,20.76,76.69,74.71,0.7,95.77,1.74,6.86,59.78,0.39,0.57,2575.6,1960.0,,91.5,682.11,3635.15,578.13,12.48,76.43,88.97,49.02,72.93,70.85
Robstowncity,37.04,16180.0,12.26,42.31,61.8,69.4,4.97,3.26,72.16,61.18,1.85,62.03,0.19,91.07,68.98,17.21,25.81,1345.2,1960.0,7.38,22.15,383.99,2392.56,413.53,59.08,95.85,99.9,6.31,44.19,44.65
Wyomingcity,7.07,31103.0,5.13,6.7,21.43,53.39,3.49,16.5,76.5,75.93,2.72,93.52,1.49,3.5,67.43,1.71,0.79,2539.0,1962.0,1.55,180.07,377.21,3469.37,409.8,20.18,85.47,94.03,13.17,70.23,74.84
Hastingscity,5.0,36091.0,5.18,7.84,18.63,51.79,1.02,25.32,79.12,79.48,0.31,98.63,0.64,0.49,72.34,1.44,0.69,1641.9,1968.0,,12.1,96.82,2232.98,242.06,6.05,80.72,91.57,16.75,69.13,80.26
Paragouldcity,18.82,19985.0,7.01,20.78,39.87,52.41,0.26,0.0,76.53,72.93,0.09,99.39,0.18,0.51,67.53,10.95,4.66,616.9,1972.0,4.65,9.29,37.16,2331.96,162.59,4.65,83.68,89.62,11.26,55.48,73.04
BeverlyHillscity,6.6,54348.0,3.8,3.6,10.57,52.74,34.82,22.29,75.73,77.69,1.7,91.28,5.46,5.4,43.85,0.4,1.38,5437.2,1949.0,3.0,843.97,216.25,5271.06,663.76,42.05,82.67,85.41,46.95,60.76,55.66
UniversityHeightscity,2.9,43376.0,4.65,3.26,9.16,53.8,10.29,12.29,83.94,83.27,16.34,81.75,1.53,1.0,77.25,0.21,0.0,7812.2,1948.0,,97.77,125.71,1298.97,216.5,0,78.85,86.92,47.0,60.44,75.55
Marioncity,16.85,22439.0,10.98,9.68,30.32,53.95,0.75,13.67,70.49,66.69,4.22,94.72,0.45,0.85,61.48,12.2,3.38,4102.3,1945.0,2.88,106.44,57.53,4409.86,296.29,8.63,85.45,93.41,9.41,55.48,66.36
Toledocity,19.09,24819.0,9.92,8.57,26.84,56.77,2.78,27.39,62.64,58.92,19.7,76.96,1.05,3.97,60.65,5.49,13.37,3988.5,1951.0,13.89,492.02,368.86,4707.51,1394.26,110.19,88.0,93.19,14.06,55.56,66.3
Philadelphiacity,20.27,24603.0,9.62,11.29,35.69,64.33,6.61,24.3,53.45,47.22,39.86,53.52,2.74,5.63,61.95,4.25,21.96,11326.0,1939.0,28.7,753.74,445.86,2561.1,1554.73,149.17,88.86,92.65,15.22,52.77,62.23
Newtoncity,4.33,59719.0,3.94,3.72,8.34,60.43,13.03,21.86,84.76,84.77,2.08,92.78,4.55,1.98,68.91,0.37,0.29,4413.0,1939.0,1.17,31.46,210.9,1709.31,288.96,0,75.1,85.9,57.22,67.36,74.67
OrmondBeachcity,6.72,32704.0,4.21,4.72,15.77,46.85,6.05,7.12,76.18,74.95,3.52,95.13,1.03,1.7,76.93,1.73,0.81,1137.7,1975.0,,74.45,37.23,2940.9,241.97,0,70.75,77.44,26.17,51.11,70.28
Lynchburgcity,16.45,23726.0,5.97,13.61,30.52,52.6,1.68,43.05,64.0,59.7,26.41,72.45,0.76,0.72,58.2,7.07,4.31,1290.5,1960.0,4.47,159.32,522.63,3448.48,273.97,74.45,73.84,86.06,21.74,56.27,72.3
Clintoncity,9.48,36770.0,3.37,4.37,13.22,46.9,1.78,53.98,76.53,74.47,17.14,81.71,0.92,0.48,68.26,2.6,0.94,885.5,1976.0,8.76,61.34,52.58,1906.06,52.58,21.91,75.27,88.08,38.29,70.5,76.48
Andersoncity,19.89,19433.0,7.46,18.33,37.36,50.04,0.7,19.78,56.04,49.67,34.26,65.09,0.31,0.53,52.26,11.53,2.41,2042.4,1961.0,26.85,449.74,1322.37,4098,459.81,10.07,83.54,91.1,16.96,54.48,76.59
Mesquitecity,7.73,35934.0,4.74,5.36,18.76,43.88,4.66,21.81,77.5,74.52,5.83,87.21,2.63,8.77,63.45,3.79,5.24,2286.9,1977.0,4.32,118.34,415.48,4475.25,657.34,80.33,83.76,92.25,18.31,74.16,76.4
ParkForestvillage,4.89,36995.0,4.94,5.02,13.06,57.89,3.38,11.4,71.03,70.17,24.63,73.0,1.13,3.12,69.66,1.03,0.31,4826.9,1955.0,7.89,98.58,118.29,2062.22,445.57,15.77,85.21,94.8,24.93,67.87,75.25
ChippewaFallscity,11.12,23056.0,6.85,15.8,25.73,54.71,0.64,0.0,72.22,72.67,0.11,99.03,0.34,0.34,58.78,2.55,2.54,1249.9,1952.0,,7.42,29.66,2862.65,111.24,29.66,84.7,92.48,13.05,55.78,74.49
Beavercreekcity,3.51,49143.0,3.13,3.8,11.01,57.26,3.43,21.14,89.64,88.59,0.92,96.35,2.34,1.02,86.08,0.35,0.22,1260.7,1968.0,,52.76,34.3,2717.32,184.67,68.59,68.76,84.0,37.21,69.01,69.9
Keenecity,8.06,31235.0,6.42,6.21,16.34,47.1,2.65,21.38,74.41,73.75,0.28,98.83,0.59,0.59,58.09,4.6,0.44,580.3,1954.0,,17.77,302.1,3709.63,106.62,62.2,71.82,79.59,28.98,63.92,75.69
Springfieldtownship,8.79,32713.0,5.41,8.16,25.83,63.34,0.97,3.85,82.16,77.61,2.55,97.01,0.28,0.36,82.69,2.3,2.27,369.6,1957.0,,96.04,318.45,2446.48,90.98,32.86,91.08,95.84,13.65,55.46,72.52
Swissvaleborough,12.53,23773.0,6.62,9.07,21.74,64.43,2.29,15.57,63.45,64.25,9.69,89.52,0.51,0.75,55.3,1.91,5.87,8564.4,1940.0,18.94,170.42,170.42,1893.58,1145.62,85.21,92.84,95.93,20.9,55.31,64.4
Knoxvillecity,20.8,19923.0,7.11,12.59,29.21,47.86,1.98,44.26,62.09,57.18,15.78,82.73,1.04,0.67,49.86,6.38,7.04,2063.3,1960.0,8.14,346.59,1279.37,3504.88,935.68,100.6,77.77,87.92,21.73,55.4,65.69
Kernersvilletown,8.46,25649.0,5.99,11.55,25.51,34.76,1.59,34.88,66.54,65.51,5.59,92.94,0.58,1.49,42.9,6.37,1.27,1451.0,1977.0,7.46,126.74,320.58,4518,313.13,7.46,64.31,79.22,16.96,71.82,84.51
Bloomingtoncity,3.7,41736.0,3.28,2.51,8.76,54.64,4.04,17.65,80.21,80.39,1.61,94.71,3.09,0.93,70.35,0.63,0.15,2345.2,1967.0,4.65,75.59,119.79,4254.13,484.96,?,82.23,90.48,31.69,74.28,78.55
ScotchPlainstownship,1.49,58194.0,3.75,4.57,12.02,70.79,10.92,14.28,86.47,83.94,11.1,83.79,4.57,2.83,81.45,0.41,2.53,2250.1,1957.0,4.61,55.27,41.45,1271.19,409.91,9.21,81.71,90.89,41.42,67.53,65.23
Newingtontown,1.79,45481.0,3.44,8.71,20.02,64.52,10.94,7.51,82.24,81.3,1.41,96.54,1.4,2.1,81.0,0.25,0.26,2139.7,1964.0,,10.26,54.72,2681.08,376.17,3.42,90.85,93.45,24.89,67.54,79.94
Moberlycity,18.27,20569.0,8.52,14.83,31.36,50.83,0.75,23.96,71.13,67.77,7.24,91.65,0.54,0.86,65.74,10.58,0.65,1227.9,1954.0,7.88,39.4,874.7,3853.43,165.48,7.88,77.48,88.98,14.2,54.24,76.08
Sandycity,4.21,43971.0,3.56,1.05,6.93,51.8,2.92,13.27,89.17,89.56,0.19,97.05,1.69,2.54,87.34,0.86,1.31,3625.3,1978.0,,32.06,84.74,2810,125.96,5.73,80.89,85.88,29.42,72.82,65.64
Wheatoncity,5.12,52208.0,2.42,3.52,7.8,46.01,6.45,22.59,87.46,87.61,2.53,92.97,3.78,2.04,74.54,0.43,0.23,4486.1,1971.0,,16.62,44.33,1939.24,44.33,5.54,71.51,83.26,49.38,70.3,67.26
WhiteLaketownship,4.36,42549.0,6.2,3.75,16.57,57.66,2.05,8.84,82.93,80.98,0.69,98.03,0.43,1.3,89.13,1.57,0.61,648.8,1970.0,,12.92,262.61,2660.58,202.34,38.75,87.87,96.67,16.76,67.54,71.03
Chickashacity,23.15,18357.0,9.5,13.83,33.47,50.54,1.27,17.28,68.5,64.73,9.78,84.1,0.45,2.48,66.47,13.73,6.94,1057.3,1957.0,26.23,98.37,937.77,3003.48,347.56,45.9,81.53,93.34,18.06,51.29,69.09
Tucsoncity,20.16,21748.0,8.12,9.36,21.39,41.54,10.71,28.48,65.86,61.93,4.28,75.25,2.2,29.25,51.44,6.88,2.07,2503.8,1971.0,9.78,198.68,691.36,7128.3,1142.94,36,73.61,79.3,20.71,58.52,68.39
Gallowaytownship,4.35,41944.0,4.1,5.04,18.12,40.26,4.16,13.09,79.01,75.91,7.36,88.58,2.67,3.69,68.94,1.68,0.86,249.1,1982.0,4.19,41.87,184.24,2332.3,192.61,29.31,66.89,88.65,20.42,69.92,71.3
Sweetwatercity,23.02,19157.0,8.51,19.73,41.2,53.48,2.49,9.06,75.23,70.05,5.57,73.69,0.15,28.98,66.37,13.7,4.85,1329.7,1956.0,8.19,73.75,794.82,3695.51,245.82,40.97,79.79,96.69,11.11,53.98,65.79
Portsmouthcity,6.68,30591.0,5.12,3.63,11.2,39.91,4.04,14.14,75.93,75.06,4.6,92.63,1.72,2.0,41.88,2.85,2.5,1602.6,1950.0,,66.98,162.67,3353.91,334.91,43.06,59.25,64.89,26.55,69.93,75.1
Hulltown,8.02,37683.0,7.31,3.69,14.63,59.52,5.39,8.33,70.43,67.48,0.89,98.1,0.64,1.08,66.9,1.11,13.56,3397.6,1945.0,,0,835.73,907.62,161.75,26.96,74.64,92.12,19.66,65.59,65.72
Scotttownship,4.13,34644.0,3.05,6.29,16.84,61.22,3.07,10.27,83.2,82.4,0.59,97.87,1.37,0.55,67.78,0.62,0.31,4180.8,1958.0,5.74,11.49,17.23,1010.91,269.96,17.23,88.89,94.24,29.72,63.85,71.98
Pittsfieldtownship,9.33,34639.0,3.78,3.49,12.12,29.96,8.21,31.93,74.43,73.64,16.58,78.17,4.04,2.1,39.76,2.34,0.13,606.6,1975.0,,236.86,275.42,6626.64,567.37,38.56,60.74,81.92,38.51,71.33,73.58
Duncanvillecity,3.78,41028.0,4.57,3.75,12.99,52.65,3.39,11.31,78.22,76.06,12.06,82.54,2.14,6.65,67.72,1.87,0.59,3057.5,1975.0,,150.83,263.95,3199.74,705.67,43.09,83.13,91.59,29.02,72.16,73.78
Mexicocity,14.35,23744.0,4.48,15.1,30.01,56.53,0.87,21.43,71.5,69.43,9.4,89.79,0.46,0.42,67.81,7.3,1.86,1098.7,1958.0,8.83,26.48,105.91,1588.7,88.26,0,82.64,93.14,13.93,55.04,77.08
NewProvidenceborough,2.45,62420.0,2.71,4.91,9.49,65.66,12.51,14.81,90.92,90.33,0.54,94.18,4.9,2.7,75.52,0.52,1.19,3001.1,1957.0,,24.78,24.78,768.21,148.69,16.52,79.06,90.11,48.6,69.32,66.83
Barnstabletown,6.78,33411.0,7.22,2.92,11.27,52.01,5.53,24.91,71.82,71.66,2.7,94.53,0.7,1.71,70.86,1.71,0.96,658.2,1973.0,4.67,67.74,1688.82,1555.67,298.99,0,78.56,89.51,28.3,57.0,68.72
Rutherfordborough,3.68,46499.0,4.17,7.01,16.92,68.6,16.06,22.23,84.36,83.65,3.01,89.39,6.45,5.78,68.15,1.09,2.99,6118.4,1939.0,,28.07,89.83,1381.09,421.06,11.23,79.74,88.58,32.44,62.97,69.23
Portlandcity,14.53,25592.0,6.16,5.62,17.1,46.0,7.68,29.91,66.43,63.51,7.67,84.64,5.3,3.17,52.98,4.47,5.5,3386.2,1947.0,12.65,502.59,1221.7,5890.68,1844.43,131.7,76.24,85.35,25.95,62.61,70.4
Manassascity,3.79,46674.0,3.3,6.16,15.79,29.6,7.62,28.79,81.33,79.06,10.33,83.46,3.1,5.73,66.11,4.11,1.46,2695.4,1981.0,,170.84,99.4,3314.39,267.14,18.64,47.71,74.55,25.82,77.22,74.66
Torrancecity,5.15,47204.0,3.95,3.85,12.38,49.81,22.17,32.19,79.26,77.43,1.45,72.98,21.86,10.07,56.29,1.2,1.56,6260.9,1961.0,8.64,309.54,280.75,2948.59,1226.66,38.87,82.48,85.95,31.23,67.04,66.06
SouthJordancity,3.21,43804.0,3.21,1.7,9.1,51.42,1.19,0.0,93.07,91.5,0.06,98.01,0.86,2.06,91.06,0.6,7.14,585.8,1979.0,,17.35,161.92,2307.43,266.02,0,88.33,92.45,22.85,70.81,62.54
RedwoodCitycity,8.3,42962.0,3.82,8.12,18.45,46.52,23.8,29.78,72.39,69.83,3.64,82.76,6.32,24.12,50.78,1.85,0.59,3349.1,1961.0,4.4,155.59,544.58,2753.72,664.94,2.94,77.2,88.9,27.09,69.14,73.54
Lancastertownship,6.27,35855.0,3.31,10.36,21.66,49.01,5.28,25.43,77.84,75.4,3.03,93.76,1.36,3.4,59.31,0.41,0.5,2104.5,1961.0,,52.19,22.37,2288.99,283.33,22.37,82.92,89.32,27.84,62.15,75.28
Algonquinvillage,1.65,53665.0,2.29,1.77,9.45,43.22,4.51,6.63,92.11,91.8,0.17,98.04,1.29,1.73,89.42,0.93,2.0,2148.7,1980.0,,15.21,53.23,1528.52,38.02,45.63,55.18,90.13,32.89,75.69,60.18
Sebastiancity,6.77,26654.0,5.66,7.04,26.53,32.16,5.5,5.72,80.47,75.83,1.06,97.38,1.04,1.79,82.22,3.16,0.21,785.2,1984.0,,8.5,314.47,2354.24,101.99,0,52.33,71.28,9.91,48.43,69.76
GrandForkscity,14.48,25456.0,5.08,7.24,14.24,41.07,2.25,42.9,75.26,76.33,0.8,95.49,1.07,1.19,48.71,2.77,0.85,3304.7,1968.0,,27.78,55.55,4368.79,386.88,27.78,66.59,80.46,29.28,66.75,77.17
NewHaventown,21.29,25811.0,9.25,11.86,28.97,45.53,8.15,31.16,45.44,38.63,36.14,53.85,2.41,13.22,31.78,7.53,10.18,6679.9,1943.0,18.39,1035.08,964.85,6453.8,1566,112.04,77.29,81.55,26.7,56.71,60.14
Westwegocity,23.81,18095.0,8.37,28.57,49.27,54.89,2.0,31.7,62.04,55.69,15.59,81.67,0.71,2.79,56.62,7.66,10.97,3399.4,1959.0,,309.2,463.81,4001.46,1309.57,18.19,93.77,97.9,4.01,50.95,50.26
Doltonvillage,4.93,36724.0,6.76,6.65,21.38,58.15,4.34,7.12,70.37,67.79,38.14,58.5,1.17,4.53,83.78,1.16,2.33,5104.5,1961.0,,313.81,152.88,4180.08,1275.35,4.02,95.52,96.42,12.55,62.79,75.79
Munstertown,1.27,48483.0,2.81,5.04,12.33,65.83,6.33,4.91,90.61,89.64,0.44,95.21,3.61,2.65,88.83,0.1,0.0,2553.6,1966.0,14.58,29.15,145.76,2419.59,281.8,4.86,85.55,86.78,33.16,61.56,66.81
